scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE2_fd2,female,adult_18_plus,strength_neg,4,0.07469372722235593,0.21330102340324775,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,5,0.15358672042687735,0.26012863502615974,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,6,0.07824656665325165,0.330896925391295,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_neg,7,0.023754397263893716,0.0809172334579321,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,1,9.464959957769938,5.463665081576987,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,2,14.306517261447329,20.955150505393256,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,3,7.395842792259322,11.461179377049463,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,4,12.335876649076289,7.628501175062642,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,5,10.421842714150745,7.133601781376553,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,6,6.843832403421402,8.423394247125358,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,strength_pos,7,8.854756962794523,13.39648275465302,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,1,1.586032892321652e-17,3.660075905357659e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,2,-1.1438661465834946e-16,4.051226299520428e-17,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,3,6.78469626159818e-17,9.730019496664783e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,4,3.40636609828173e-17,2.8143765484378967e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,5,2.808599913486259e-17,-7.440883481204544e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,6,-6.29126380620922e-17,2.1635115351669717e-17,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z,7,-1.0675221390626504e-17,1.7244588400242812e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,1,0.0,0.0,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,2,2.6914497566670462e-17,0.0,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,3,6.1679056923619804e-18,0.0,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,4,0.0,5.628753096875793e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,5,0.0,8.896017825522088e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,6,0.0,-2.135044278125301e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_neg,7,0.0,0.0,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,1,1.586032892321652e-17,3.660075905357659e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,2,-1.5980482930210585e-17,4.051226299520428e-17,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,3,4.3175339846533866e-17,9.730019496664783e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,4,3.40636609828173e-17,-5.119253894141348e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,5,2.808599913486259e-17,-1.0103334530414349e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,6,-6.29126380620922e-17,7.828495686459437e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
ABIDE2_fd2,female,adult_18_plus,z_pos,7,-1.0675221390626504e-17,1.7244588400242812e-18,,,,,2,13,only_one_site_in_this_module_metric;too_few_subjects,1.0,False
