dataset,BIDS_ID,SITE_ID
ABIDE1,sub-0050686,LEUVEN_1
ABIDE1,sub-0050687,LEUVEN_1
ABIDE1,sub-0050688,LEUVEN_1
ABIDE1,sub-0050689,LEUVEN_1
ABIDE1,sub-0050690,LEUVEN_1
ABIDE1,sub-0050691,LEUVEN_1
ABIDE1,sub-0050692,LEUVEN_1
ABIDE1,sub-0050693,LEUVEN_1
ABIDE1,sub-0050694,LEUVEN_1
ABIDE1,sub-0050695,LEUVEN_1
ABIDE1,sub-0050696,LEUVEN_1
ABIDE1,sub-0050697,LEUVEN_1
ABIDE1,sub-0050698,LEUVEN_1
ABIDE1,sub-0050699,LEUVEN_1
ABIDE1,sub-0050700,LEUVEN_1
ABIDE1,sub-0050701,LEUVEN_1
ABIDE1,sub-0050702,LEUVEN_1
ABIDE1,sub-0050703,LEUVEN_1
ABIDE1,sub-0050704,LEUVEN_1
ABIDE1,sub-0050705,LEUVEN_1
ABIDE1,sub-0050706,LEUVEN_1
ABIDE1,sub-0050707,LEUVEN_1
ABIDE1,sub-0050708,LEUVEN_1
ABIDE1,sub-0050709,LEUVEN_1
ABIDE1,sub-0050710,LEUVEN_1
ABIDE1,sub-0050711,LEUVEN_1
ABIDE1,sub-0050722,LEUVEN_2
ABIDE1,sub-0050723,LEUVEN_2
ABIDE1,sub-0050724,LEUVEN_2
ABIDE1,sub-0050725,LEUVEN_2
ABIDE1,sub-0050726,LEUVEN_2
ABIDE1,sub-0050727,LEUVEN_2
ABIDE1,sub-0050728,LEUVEN_2
ABIDE1,sub-0050730,LEUVEN_2
ABIDE1,sub-0050731,LEUVEN_2
ABIDE1,sub-0050732,LEUVEN_2
ABIDE1,sub-0050733,LEUVEN_2
ABIDE1,sub-0050734,LEUVEN_2
ABIDE1,sub-0050735,LEUVEN_2
ABIDE1,sub-0050736,LEUVEN_2
ABIDE1,sub-0050737,LEUVEN_2
ABIDE1,sub-0050738,LEUVEN_2
ABIDE1,sub-0050739,LEUVEN_2
ABIDE1,sub-0050740,LEUVEN_2
ABIDE1,sub-0050741,LEUVEN_2
ABIDE1,sub-0050742,LEUVEN_2
ABIDE1,sub-0050743,LEUVEN_2
ABIDE1,sub-0050744,LEUVEN_2
ABIDE1,sub-0050745,LEUVEN_2
ABIDE1,sub-0050746,LEUVEN_2
ABIDE1,sub-0050747,LEUVEN_2
ABIDE1,sub-0050748,LEUVEN_2
ABIDE1,sub-0050749,LEUVEN_2
ABIDE1,sub-0050750,LEUVEN_2
ABIDE1,sub-0050751,LEUVEN_2
ABIDE1,sub-0050752,LEUVEN_2
ABIDE1,sub-0050753,LEUVEN_2
ABIDE1,sub-0050754,LEUVEN_2
ABIDE1,sub-0050755,LEUVEN_2
ABIDE1,sub-0050756,LEUVEN_2
ABIDE1,sub-0050757,LEUVEN_2
ABIDE1,sub-0051318,MAX_MUN
ABIDE1,sub-0051319,MAX_MUN
ABIDE1,sub-0051320,MAX_MUN
ABIDE1,sub-0051321,MAX_MUN
ABIDE1,sub-0051322,MAX_MUN
ABIDE1,sub-0051323,MAX_MUN
ABIDE1,sub-0051324,MAX_MUN
ABIDE1,sub-0051325,MAX_MUN
ABIDE1,sub-0051326,MAX_MUN
ABIDE1,sub-0051327,MAX_MUN
ABIDE1,sub-0051328,MAX_MUN
ABIDE1,sub-0051329,MAX_MUN
ABIDE1,sub-0051330,MAX_MUN
ABIDE1,sub-0051331,MAX_MUN
ABIDE1,sub-0051332,MAX_MUN
ABIDE1,sub-0051333,MAX_MUN
ABIDE1,sub-0051334,MAX_MUN
ABIDE1,sub-0051335,MAX_MUN
ABIDE1,sub-0051336,MAX_MUN
ABIDE1,sub-0051338,MAX_MUN
ABIDE1,sub-0051339,MAX_MUN
ABIDE1,sub-0051340,MAX_MUN
ABIDE1,sub-0051341,MAX_MUN
ABIDE1,sub-0051342,MAX_MUN
ABIDE1,sub-0051343,MAX_MUN
ABIDE1,sub-0051344,MAX_MUN
ABIDE1,sub-0051345,MAX_MUN
ABIDE1,sub-0051346,MAX_MUN
ABIDE1,sub-0051347,MAX_MUN
ABIDE1,sub-0051348,MAX_MUN
ABIDE1,sub-0051349,MAX_MUN
ABIDE1,sub-0051350,MAX_MUN
ABIDE1,sub-0051351,MAX_MUN
ABIDE1,sub-0051352,MAX_MUN
ABIDE1,sub-0051353,MAX_MUN
ABIDE1,sub-0051354,MAX_MUN
ABIDE1,sub-0051355,MAX_MUN
ABIDE1,sub-0051356,MAX_MUN
ABIDE1,sub-0051357,MAX_MUN
ABIDE1,sub-0051358,MAX_MUN
ABIDE1,sub-0051359,MAX_MUN
ABIDE1,sub-0051360,MAX_MUN
ABIDE1,sub-0051361,MAX_MUN
ABIDE1,sub-0051362,MAX_MUN
ABIDE1,sub-0051363,MAX_MUN
ABIDE1,sub-0051364,MAX_MUN
ABIDE1,sub-0051365,MAX_MUN
ABIDE1,sub-0051366,MAX_MUN
ABIDE1,sub-0051367,MAX_MUN
ABIDE1,sub-0051368,MAX_MUN
ABIDE1,sub-0051369,MAX_MUN
ABIDE1,sub-0051370,MAX_MUN
ABIDE1,sub-0051371,MAX_MUN
ABIDE1,sub-0051372,MAX_MUN
ABIDE1,sub-0051373,MAX_MUN
ABIDE1,sub-0051606,MAX_MUN
ABIDE1,sub-0051607,MAX_MUN
ABIDE1,sub-0050952,NYU
ABIDE1,sub-0050953,NYU
ABIDE1,sub-0050954,NYU
ABIDE1,sub-0050955,NYU
ABIDE1,sub-0050956,NYU
ABIDE1,sub-0050957,NYU
ABIDE1,sub-0050958,NYU
ABIDE1,sub-0050959,NYU
ABIDE1,sub-0050960,NYU
ABIDE1,sub-0050961,NYU
ABIDE1,sub-0050962,NYU
ABIDE1,sub-0050964,NYU
ABIDE1,sub-0050965,NYU
ABIDE1,sub-0050966,NYU
ABIDE1,sub-0050967,NYU
ABIDE1,sub-0050968,NYU
ABIDE1,sub-0050969,NYU
ABIDE1,sub-0050970,NYU
ABIDE1,sub-0050971,NYU
ABIDE1,sub-0050972,NYU
ABIDE1,sub-0050973,NYU
ABIDE1,sub-0050974,NYU
ABIDE1,sub-0050975,NYU
ABIDE1,sub-0050976,NYU
ABIDE1,sub-0050977,NYU
ABIDE1,sub-0050978,NYU
ABIDE1,sub-0050979,NYU
ABIDE1,sub-0050980,NYU
ABIDE1,sub-0050981,NYU
ABIDE1,sub-0050982,NYU
ABIDE1,sub-0050983,NYU
ABIDE1,sub-0050984,NYU
ABIDE1,sub-0050985,NYU
ABIDE1,sub-0050986,NYU
ABIDE1,sub-0050987,NYU
ABIDE1,sub-0050988,NYU
ABIDE1,sub-0050989,NYU
ABIDE1,sub-0050990,NYU
ABIDE1,sub-0050991,NYU
ABIDE1,sub-0050992,NYU
ABIDE1,sub-0050993,NYU
ABIDE1,sub-0050994,NYU
ABIDE1,sub-0050995,NYU
ABIDE1,sub-0050996,NYU
ABIDE1,sub-0050997,NYU
ABIDE1,sub-0050998,NYU
ABIDE1,sub-0050999,NYU
ABIDE1,sub-0051000,NYU
ABIDE1,sub-0051001,NYU
ABIDE1,sub-0051002,NYU
ABIDE1,sub-0051003,NYU
ABIDE1,sub-0051006,NYU
ABIDE1,sub-0051007,NYU
ABIDE1,sub-0051008,NYU
ABIDE1,sub-0051009,NYU
ABIDE1,sub-0051010,NYU
ABIDE1,sub-0051011,NYU
ABIDE1,sub-0051012,NYU
ABIDE1,sub-0051013,NYU
ABIDE1,sub-0051014,NYU
ABIDE1,sub-0051015,NYU
ABIDE1,sub-0051016,NYU
ABIDE1,sub-0051017,NYU
ABIDE1,sub-0051018,NYU
ABIDE1,sub-0051019,NYU
ABIDE1,sub-0051020,NYU
ABIDE1,sub-0051021,NYU
ABIDE1,sub-0051023,NYU
ABIDE1,sub-0051024,NYU
ABIDE1,sub-0051025,NYU
ABIDE1,sub-0051026,NYU
ABIDE1,sub-0051027,NYU
ABIDE1,sub-0051028,NYU
ABIDE1,sub-0051029,NYU
ABIDE1,sub-0051030,NYU
ABIDE1,sub-0051032,NYU
ABIDE1,sub-0051033,NYU
ABIDE1,sub-0051034,NYU
ABIDE1,sub-0051035,NYU
ABIDE1,sub-0051036,NYU
ABIDE1,sub-0051038,NYU
ABIDE1,sub-0051039,NYU
ABIDE1,sub-0051040,NYU
ABIDE1,sub-0051041,NYU
ABIDE1,sub-0051042,NYU
ABIDE1,sub-0051044,NYU
ABIDE1,sub-0051045,NYU
ABIDE1,sub-0051046,NYU
ABIDE1,sub-0051047,NYU
ABIDE1,sub-0051048,NYU
ABIDE1,sub-0051049,NYU
ABIDE1,sub-0051050,NYU
ABIDE1,sub-0051051,NYU
ABIDE1,sub-0051052,NYU
ABIDE1,sub-0051053,NYU
ABIDE1,sub-0051054,NYU
ABIDE1,sub-0051055,NYU
ABIDE1,sub-0051056,NYU
ABIDE1,sub-0051057,NYU
ABIDE1,sub-0051058,NYU
ABIDE1,sub-0051059,NYU
ABIDE1,sub-0051060,NYU
ABIDE1,sub-0051061,NYU
ABIDE1,sub-0051062,NYU
ABIDE1,sub-0051063,NYU
ABIDE1,sub-0051064,NYU
ABIDE1,sub-0051065,NYU
ABIDE1,sub-0051066,NYU
ABIDE1,sub-0051067,NYU
ABIDE1,sub-0051068,NYU
ABIDE1,sub-0051069,NYU
ABIDE1,sub-0051070,NYU
ABIDE1,sub-0051071,NYU
ABIDE1,sub-0051072,NYU
ABIDE1,sub-0051073,NYU
ABIDE1,sub-0051074,NYU
ABIDE1,sub-0051075,NYU
ABIDE1,sub-0051076,NYU
ABIDE1,sub-0051077,NYU
ABIDE1,sub-0051078,NYU
ABIDE1,sub-0051079,NYU
ABIDE1,sub-0051080,NYU
ABIDE1,sub-0051081,NYU
ABIDE1,sub-0051082,NYU
ABIDE1,sub-0051083,NYU
ABIDE1,sub-0051084,NYU
ABIDE1,sub-0051085,NYU
ABIDE1,sub-0051086,NYU
ABIDE1,sub-0051087,NYU
ABIDE1,sub-0051088,NYU
ABIDE1,sub-0051089,NYU
ABIDE1,sub-0051090,NYU
ABIDE1,sub-0051091,NYU
ABIDE1,sub-0051093,NYU
ABIDE1,sub-0051094,NYU
ABIDE1,sub-0051095,NYU
ABIDE1,sub-0051096,NYU
ABIDE1,sub-0051097,NYU
ABIDE1,sub-0051098,NYU
ABIDE1,sub-0051099,NYU
ABIDE1,sub-0051100,NYU
ABIDE1,sub-0051101,NYU
ABIDE1,sub-0051102,NYU
ABIDE1,sub-0051103,NYU
ABIDE1,sub-0051104,NYU
ABIDE1,sub-0051105,NYU
ABIDE1,sub-0051106,NYU
ABIDE1,sub-0051107,NYU
ABIDE1,sub-0051108,NYU
ABIDE1,sub-0051109,NYU
ABIDE1,sub-0051110,NYU
ABIDE1,sub-0051111,NYU
ABIDE1,sub-0051112,NYU
ABIDE1,sub-0051113,NYU
ABIDE1,sub-0051114,NYU
ABIDE1,sub-0051115,NYU
ABIDE1,sub-0051116,NYU
ABIDE1,sub-0051117,NYU
ABIDE1,sub-0051118,NYU
ABIDE1,sub-0051119,NYU
ABIDE1,sub-0051120,NYU
ABIDE1,sub-0051121,NYU
ABIDE1,sub-0051122,NYU
ABIDE1,sub-0051123,NYU
ABIDE1,sub-0051124,NYU
ABIDE1,sub-0051125,NYU
ABIDE1,sub-0051126,NYU
ABIDE1,sub-0051127,NYU
ABIDE1,sub-0051128,NYU
ABIDE1,sub-0051129,NYU
ABIDE1,sub-0051130,NYU
ABIDE1,sub-0051131,NYU
ABIDE1,sub-0051146,NYU
ABIDE1,sub-0051147,NYU
ABIDE1,sub-0051148,NYU
ABIDE1,sub-0051149,NYU
ABIDE1,sub-0051150,NYU
ABIDE1,sub-0051151,NYU
ABIDE1,sub-0051152,NYU
ABIDE1,sub-0051153,NYU
ABIDE1,sub-0051154,NYU
ABIDE1,sub-0051155,NYU
ABIDE1,sub-0051156,NYU
ABIDE1,sub-0051159,NYU
ABIDE1,sub-0050142,OHSU
ABIDE1,sub-0050143,OHSU
ABIDE1,sub-0050144,OHSU
ABIDE1,sub-0050145,OHSU
ABIDE1,sub-0050146,OHSU
ABIDE1,sub-0050147,OHSU
ABIDE1,sub-0050148,OHSU
ABIDE1,sub-0050149,OHSU
ABIDE1,sub-0050150,OHSU
ABIDE1,sub-0050152,OHSU
ABIDE1,sub-0050153,OHSU
ABIDE1,sub-0050155,OHSU
ABIDE1,sub-0050156,OHSU
ABIDE1,sub-0050157,OHSU
ABIDE1,sub-0050158,OHSU
ABIDE1,sub-0050159,OHSU
ABIDE1,sub-0050160,OHSU
ABIDE1,sub-0050161,OHSU
ABIDE1,sub-0050162,OHSU
ABIDE1,sub-0050163,OHSU
ABIDE1,sub-0050164,OHSU
ABIDE1,sub-0050165,OHSU
ABIDE1,sub-0050166,OHSU
ABIDE1,sub-0050167,OHSU
ABIDE1,sub-0050168,OHSU
ABIDE1,sub-0050169,OHSU
ABIDE1,sub-0050170,OHSU
ABIDE1,sub-0050171,OHSU
ABIDE1,sub-0050102,OLIN
ABIDE1,sub-0050103,OLIN
ABIDE1,sub-0050104,OLIN
ABIDE1,sub-0050105,OLIN
ABIDE1,sub-0050106,OLIN
ABIDE1,sub-0050107,OLIN
ABIDE1,sub-0050108,OLIN
ABIDE1,sub-0050109,OLIN
ABIDE1,sub-0050110,OLIN
ABIDE1,sub-0050111,OLIN
ABIDE1,sub-0050112,OLIN
ABIDE1,sub-0050113,OLIN
ABIDE1,sub-0050114,OLIN
ABIDE1,sub-0050115,OLIN
ABIDE1,sub-0050116,OLIN
ABIDE1,sub-0050117,OLIN
ABIDE1,sub-0050118,OLIN
ABIDE1,sub-0050119,OLIN
ABIDE1,sub-0050120,OLIN
ABIDE1,sub-0050121,OLIN
ABIDE1,sub-0050122,OLIN
ABIDE1,sub-0050123,OLIN
ABIDE1,sub-0050124,OLIN
ABIDE1,sub-0050125,OLIN
ABIDE1,sub-0050126,OLIN
ABIDE1,sub-0050127,OLIN
ABIDE1,sub-0050128,OLIN
ABIDE1,sub-0050129,OLIN
ABIDE1,sub-0050130,OLIN
ABIDE1,sub-0050131,OLIN
ABIDE1,sub-0050132,OLIN
ABIDE1,sub-0050133,OLIN
ABIDE1,sub-0050134,OLIN
ABIDE1,sub-0050135,OLIN
ABIDE1,sub-0050136,OLIN
ABIDE1,sub-0050137,OLIN
ABIDE1,sub-0050002,PITT
ABIDE1,sub-0050003,PITT
ABIDE1,sub-0050004,PITT
ABIDE1,sub-0050005,PITT
ABIDE1,sub-0050006,PITT
ABIDE1,sub-0050007,PITT
ABIDE1,sub-0050008,PITT
ABIDE1,sub-0050009,PITT
ABIDE1,sub-0050010,PITT
ABIDE1,sub-0050011,PITT
ABIDE1,sub-0050012,PITT
ABIDE1,sub-0050013,PITT
ABIDE1,sub-0050014,PITT
ABIDE1,sub-0050015,PITT
ABIDE1,sub-0050016,PITT
ABIDE1,sub-0050017,PITT
ABIDE1,sub-0050019,PITT
ABIDE1,sub-0050020,PITT
ABIDE1,sub-0050022,PITT
ABIDE1,sub-0050023,PITT
ABIDE1,sub-0050024,PITT
ABIDE1,sub-0050025,PITT
ABIDE1,sub-0050026,PITT
ABIDE1,sub-0050027,PITT
ABIDE1,sub-0050028,PITT
ABIDE1,sub-0050029,PITT
ABIDE1,sub-0050030,PITT
ABIDE1,sub-0050031,PITT
ABIDE1,sub-0050032,PITT
ABIDE1,sub-0050033,PITT
ABIDE1,sub-0050034,PITT
ABIDE1,sub-0050035,PITT
ABIDE1,sub-0050036,PITT
ABIDE1,sub-0050037,PITT
ABIDE1,sub-0050038,PITT
ABIDE1,sub-0050039,PITT
ABIDE1,sub-0050040,PITT
ABIDE1,sub-0050041,PITT
ABIDE1,sub-0050042,PITT
ABIDE1,sub-0050043,PITT
ABIDE1,sub-0050044,PITT
ABIDE1,sub-0050045,PITT
ABIDE1,sub-0050046,PITT
ABIDE1,sub-0050047,PITT
ABIDE1,sub-0050048,PITT
ABIDE1,sub-0050049,PITT
ABIDE1,sub-0050050,PITT
ABIDE1,sub-0050051,PITT
ABIDE1,sub-0050052,PITT
ABIDE1,sub-0050053,PITT
ABIDE1,sub-0050054,PITT
ABIDE1,sub-0050055,PITT
ABIDE1,sub-0050056,PITT
ABIDE1,sub-0050057,PITT
ABIDE1,sub-0050058,PITT
ABIDE1,sub-0050059,PITT
ABIDE1,sub-0050060,PITT
ABIDE1,sub-0051556,SBL
ABIDE1,sub-0051557,SBL
ABIDE1,sub-0051558,SBL
ABIDE1,sub-0051559,SBL
ABIDE1,sub-0051560,SBL
ABIDE1,sub-0051561,SBL
ABIDE1,sub-0051562,SBL
ABIDE1,sub-0051563,SBL
ABIDE1,sub-0051564,SBL
ABIDE1,sub-0051565,SBL
ABIDE1,sub-0051566,SBL
ABIDE1,sub-0051567,SBL
ABIDE1,sub-0051568,SBL
ABIDE1,sub-0051569,SBL
ABIDE1,sub-0051570,SBL
ABIDE1,sub-0051571,SBL
ABIDE1,sub-0051572,SBL
ABIDE1,sub-0051573,SBL
ABIDE1,sub-0051574,SBL
ABIDE1,sub-0051575,SBL
ABIDE1,sub-0051576,SBL
ABIDE1,sub-0051577,SBL
ABIDE1,sub-0051578,SBL
ABIDE1,sub-0051579,SBL
ABIDE1,sub-0051580,SBL
ABIDE1,sub-0051581,SBL
ABIDE1,sub-0051582,SBL
ABIDE1,sub-0051583,SBL
ABIDE1,sub-0051584,SBL
ABIDE1,sub-0051585,SBL
ABIDE1,sub-0050182,SDSU
ABIDE1,sub-0050183,SDSU
ABIDE1,sub-0050184,SDSU
ABIDE1,sub-0050185,SDSU
ABIDE1,sub-0050186,SDSU
ABIDE1,sub-0050187,SDSU
ABIDE1,sub-0050188,SDSU
ABIDE1,sub-0050189,SDSU
ABIDE1,sub-0050190,SDSU
ABIDE1,sub-0050191,SDSU
ABIDE1,sub-0050192,SDSU
ABIDE1,sub-0050193,SDSU
ABIDE1,sub-0050194,SDSU
ABIDE1,sub-0050195,SDSU
ABIDE1,sub-0050196,SDSU
ABIDE1,sub-0050197,SDSU
ABIDE1,sub-0050198,SDSU
ABIDE1,sub-0050199,SDSU
ABIDE1,sub-0050200,SDSU
ABIDE1,sub-0050201,SDSU
ABIDE1,sub-0050202,SDSU
ABIDE1,sub-0050203,SDSU
ABIDE1,sub-0050204,SDSU
ABIDE1,sub-0050205,SDSU
ABIDE1,sub-0050206,SDSU
ABIDE1,sub-0050207,SDSU
ABIDE1,sub-0050208,SDSU
ABIDE1,sub-0050209,SDSU
ABIDE1,sub-0050210,SDSU
ABIDE1,sub-0050211,SDSU
ABIDE1,sub-0050212,SDSU
ABIDE1,sub-0050213,SDSU
ABIDE1,sub-0050214,SDSU
ABIDE1,sub-0050215,SDSU
ABIDE1,sub-0050216,SDSU
ABIDE1,sub-0050217,SDSU
ABIDE1,sub-0051160,STANFORD
ABIDE1,sub-0051161,STANFORD
ABIDE1,sub-0051162,STANFORD
ABIDE1,sub-0051163,STANFORD
ABIDE1,sub-0051164,STANFORD
ABIDE1,sub-0051165,STANFORD
ABIDE1,sub-0051166,STANFORD
ABIDE1,sub-0051167,STANFORD
ABIDE1,sub-0051168,STANFORD
ABIDE1,sub-0051169,STANFORD
ABIDE1,sub-0051170,STANFORD
ABIDE1,sub-0051171,STANFORD
ABIDE1,sub-0051172,STANFORD
ABIDE1,sub-0051173,STANFORD
ABIDE1,sub-0051174,STANFORD
ABIDE1,sub-0051175,STANFORD
ABIDE1,sub-0051176,STANFORD
ABIDE1,sub-0051177,STANFORD
ABIDE1,sub-0051178,STANFORD
ABIDE1,sub-0051179,STANFORD
ABIDE1,sub-0051180,STANFORD
ABIDE1,sub-0051181,STANFORD
ABIDE1,sub-0051182,STANFORD
ABIDE1,sub-0051183,STANFORD
ABIDE1,sub-0051184,STANFORD
ABIDE1,sub-0051185,STANFORD
ABIDE1,sub-0051186,STANFORD
ABIDE1,sub-0051187,STANFORD
ABIDE1,sub-0051188,STANFORD
ABIDE1,sub-0051189,STANFORD
ABIDE1,sub-0051190,STANFORD
ABIDE1,sub-0051191,STANFORD
ABIDE1,sub-0051192,STANFORD
ABIDE1,sub-0051193,STANFORD
ABIDE1,sub-0051194,STANFORD
ABIDE1,sub-0051195,STANFORD
ABIDE1,sub-0051196,STANFORD
ABIDE1,sub-0051197,STANFORD
ABIDE1,sub-0051198,STANFORD
ABIDE1,sub-0051199,STANFORD
ABIDE1,sub-0050232,TRINITY
ABIDE1,sub-0050233,TRINITY
ABIDE1,sub-0050234,TRINITY
ABIDE1,sub-0050235,TRINITY
ABIDE1,sub-0050236,TRINITY
ABIDE1,sub-0050237,TRINITY
ABIDE1,sub-0050238,TRINITY
ABIDE1,sub-0050239,TRINITY
ABIDE1,sub-0050240,TRINITY
ABIDE1,sub-0050241,TRINITY
ABIDE1,sub-0050242,TRINITY
ABIDE1,sub-0050243,TRINITY
ABIDE1,sub-0050244,TRINITY
ABIDE1,sub-0050245,TRINITY
ABIDE1,sub-0050246,TRINITY
ABIDE1,sub-0050247,TRINITY
ABIDE1,sub-0050248,TRINITY
ABIDE1,sub-0050249,TRINITY
ABIDE1,sub-0050250,TRINITY
ABIDE1,sub-0050251,TRINITY
ABIDE1,sub-0050252,TRINITY
ABIDE1,sub-0050253,TRINITY
ABIDE1,sub-0050254,TRINITY
ABIDE1,sub-0050255,TRINITY
ABIDE1,sub-0050257,TRINITY
ABIDE1,sub-0050259,TRINITY
ABIDE1,sub-0050260,TRINITY
ABIDE1,sub-0050261,TRINITY
ABIDE1,sub-0050262,TRINITY
ABIDE1,sub-0050263,TRINITY
ABIDE1,sub-0050264,TRINITY
ABIDE1,sub-0050265,TRINITY
ABIDE1,sub-0050266,TRINITY
ABIDE1,sub-0050267,TRINITY
ABIDE1,sub-0050268,TRINITY
ABIDE1,sub-0050269,TRINITY
ABIDE1,sub-0050270,TRINITY
ABIDE1,sub-0050271,TRINITY
ABIDE1,sub-0051132,TRINITY
ABIDE1,sub-0051133,TRINITY
ABIDE1,sub-0051134,TRINITY
ABIDE1,sub-0051135,TRINITY
ABIDE1,sub-0051136,TRINITY
ABIDE1,sub-0051137,TRINITY
ABIDE1,sub-0051138,TRINITY
ABIDE1,sub-0051139,TRINITY
ABIDE1,sub-0051140,TRINITY
ABIDE1,sub-0051141,TRINITY
ABIDE1,sub-0051142,TRINITY
ABIDE1,sub-0051201,UCLA_1
ABIDE1,sub-0051202,UCLA_1
ABIDE1,sub-0051203,UCLA_1
ABIDE1,sub-0051204,UCLA_1
ABIDE1,sub-0051205,UCLA_1
ABIDE1,sub-0051206,UCLA_1
ABIDE1,sub-0051207,UCLA_1
ABIDE1,sub-0051208,UCLA_1
ABIDE1,sub-0051209,UCLA_1
ABIDE1,sub-0051210,UCLA_1
ABIDE1,sub-0051211,UCLA_1
ABIDE1,sub-0051212,UCLA_1
ABIDE1,sub-0051213,UCLA_1
ABIDE1,sub-0051214,UCLA_1
ABIDE1,sub-0051215,UCLA_1
ABIDE1,sub-0051216,UCLA_1
ABIDE1,sub-0051217,UCLA_1
ABIDE1,sub-0051218,UCLA_1
ABIDE1,sub-0051219,UCLA_1
ABIDE1,sub-0051220,UCLA_1
ABIDE1,sub-0051221,UCLA_1
