stream,scenario,model,metric,sex,mapping_threshold,plot
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Strength_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Strength_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Strength_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Strength_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Strength_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Strength_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Strength_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Strength_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Z_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Strength_pos,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,Strength_neg,male,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/Strength_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Strength_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Strength_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Strength_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Strength_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Strength_pos,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Strength_neg,female,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,PC_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Z_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Strength_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site,Strength_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site/Strength_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,PC_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Z_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Strength_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq,Strength_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq/Strength_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,PC_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/PC_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Z_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Z_neg/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Strength_pos,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Strength_pos/male.png
dx_only,OVERALL_ageSexMatched_fd-0.3,site_iq_rh,Strength_neg,male,fd-0.3,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.3/site_iq_rh/Strength_neg/male.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,PC,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/PC/dxsex_triptych.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,PC_pos,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/PC_pos/dxsex_triptych.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,PC_neg,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/PC_neg/dxsex_triptych.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,Z,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/Z/dxsex_triptych.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,Z_pos,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/Z_pos/dxsex_triptych.png
dxsex,OVERALL_ageSexMatched_fd-0.2,site,Z_neg,male+female+delta,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dxsex/OVERALL_ageSexMatched_fd-0.2/site/Z_neg/dxsex_triptych.png
