Id,Label,x,y,z,Module,Strength
72,CC200_ROI_072,-56.365,-15.054,-15.297,1,49.331628
73,CC200_ROI_073,-43.008,0.843,47.592,3,60.341142
74,CC200_ROI_074,-44.006,33.000,-8.109,1,44.349192
75,CC200_ROI_075,31.744,54.750,14.930,3,49.350124
76,CC200_ROI_076,-7.904,-33.145,45.506,5,58.057477
77,CC200_ROI_077,17.171,-80.066,-28.737,6,54.289378
78,CC200_ROI_078,-40.569,12.902,-28.216,1,36.537447
79,CC200_ROI_079,0.012,-0.290,42.169,4,60.377551
80,CC200_ROI_080,-36.715,-71.016,-31.617,6,50.309929
81,CC200_ROI_081,13.516,-77.389,38.905,2,61.762220
82,CC200_ROI_082,-42.924,-67.010,40.678,1,45.834953
83,CC200_ROI_083,47.765,7.941,-9.294,4,54.346028
84,CC200_ROI_084,-12.398,5.422,13.952,7,45.149762
85,CC200_ROI_085,46.901,-73.578,15.521,2,56.845620
86,CC200_ROI_086,9.081,-43.881,-37.135,6,14.349255
87,CC200_ROI_087,37.838,-12.761,-25.965,1,40.972399
88,CC200_ROI_088,-57.270,-8.551,25.653,4,41.842165
89,CC200_ROI_089,8.094,-74.015,6.519,2,63.306265
90,CC200_ROI_090,-17.043,-16.071,69.986,5,50.625833
91,CC200_ROI_091,0.333,51.576,26.500,1,51.791866
92,CC200_ROI_092,-18.654,-7.391,-15.873,1,52.017127
93,CC200_ROI_093,40.642,-43.186,48.223,5,47.439075
94,CC200_ROI_094,14.241,-0.517,17.517,7,35.779837
95,CC200_ROI_095,-26.049,11.683,56.242,3,53.219880
96,CC200_ROI_096,-28.778,-35.851,62.362,5,52.019205
97,CC200_ROI_097,-33.577,-81.264,26.247,2,56.128645
98,CC200_ROI_098,60.125,-1.333,25.042,4,48.019510
99,CC200_ROI_099,-57.973,-48.271,-8.138,3,47.839891
100,CC200_ROI_100,48.011,-52.745,-16.660,2,61.800318
101,CC200_ROI_101,-51.000,-3.573,-28.758,1,39.852549
102,CC200_ROI_102,35.849,-86.799,9.637,2,49.400688
103,CC200_ROI_103,-28.364,-39.964,-30.709,6,47.840206
104,CC200_ROI_104,-9.236,62.039,14.174,1,50.257226
105,CC200_ROI_105,18.186,-55.495,3.153,2,60.070401
106,CC200_ROI_106,28.581,34.639,42.044,1,54.515383
107,CC200_ROI_107,55.051,-28.795,0.130,4,57.566871
108,CC200_ROI_108,-6.891,-93.429,1.117,2,55.997775
109,CC200_ROI_109,1.352,55.865,-7.181,1,48.590376
110,CC200_ROI_110,30.920,5.816,-18.991,1,43.513091
111,CC200_ROI_111,2.108,-23.564,68.534,5,57.788924
112,CC200_ROI_112,-28.863,12.066,-16.626,1,47.507185
113,CC200_ROI_113,42.877,49.585,-4.431,3,40.493506
114,CC200_ROI_114,-25.798,-74.112,41.143,3,55.853975
115,CC200_ROI_115,44.398,0.879,50.033,3,59.051825
116,CC200_ROI_116,-55.859,-28.728,36.620,4,41.540909
117,CC200_ROI_117,-56.802,-48.176,8.956,4,57.459632
118,CC200_ROI_118,21.056,-59.337,-25.213,6,54.595394
119,CC200_ROI_119,55.760,3.839,5.811,4,59.841932
120,CC200_ROI_120,-17.301,-81.349,-30.880,6,52.074267
121,CC200_ROI_121,-39.714,-12.943,13.314,4,46.031913
122,CC200_ROI_122,-27.643,-37.954,-11.445,1,44.498282
123,CC200_ROI_123,0.390,-15.113,51.781,5,60.029281
124,CC200_ROI_124,28.299,43.791,-13.522,3,31.423320
125,CC200_ROI_125,-30.562,38.010,33.769,3,55.267255
126,CC200_ROI_126,35.711,-73.026,-30.553,6,51.032713
127,CC200_ROI_127,31.024,18.029,52.683,3,48.658046
128,CC200_ROI_128,61.181,-31.383,26.575,4,52.775099
129,CC200_ROI_129,-44.964,-0.705,-14.611,1,44.833417
130,CC200_ROI_130,0.712,-3.441,-8.729,1,27.436634
131,CC200_ROI_131,-25.516,-92.856,12.032,2,51.552976
132,CC200_ROI_132,29.913,-67.500,47.301,2,49.744207
133,CC200_ROI_133,-9.087,46.413,40.558,1,50.420356
134,CC200_ROI_134,24.556,-13.517,67.045,5,43.505035
135,CC200_ROI_135,15.273,14.601,7.028,7,35.968197
136,CC200_ROI_136,-13.980,-66.267,55.858,5,53.614717
137,CC200_ROI_137,40.684,-11.278,-3.861,4,56.861422
138,CC200_ROI_138,22.471,-69.621,-11.264,2,64.067295
139,CC200_ROI_139,10.738,62.955,9.950,1,53.724944
140,CC200_ROI_140,55.105,-3.642,-25.373,1,42.990245
141,CC200_ROI_141,-49.220,22.864,9.322,1,47.823312
142,CC200_ROI_142,17.823,-89.519,22.733,2,50.661509
143,CC200_ROI_143,53.452,-61.750,1.000,2,58.867802
144,CC200_ROI_144,52.069,28.017,4.897,4,50.931180
145,CC200_ROI_145,-31.875,-21.085,-18.784,1,40.342273
146,CC200_ROI_146,-55.970,-10.904,5.570,4,64.098114
147,CC200_ROI_147,-7.606,-74.761,41.070,2,54.905412
148,CC200_ROI_148,1.727,-4.448,5.302,7,39.622820
149,CC200_ROI_149,-0.172,31.103,45.471,3,56.128287
150,CC200_ROI_150,-46.116,-72.130,12.058,2,61.642095
151,CC200_ROI_151,-43.974,26.480,26.617,3,48.808543
152,CC200_ROI_152,1.659,-56.935,-12.748,6,52.787114
153,CC200_ROI_153,58.382,-7.809,-7.824,1,55.084711
154,CC200_ROI_154,-51.249,-14.098,40.352,4,46.911135
155,CC200_ROI_155,21.343,-11.886,-16.408,1,40.187089
156,CC200_ROI_156,-33.897,-53.782,49.500,3,51.008773
157,CC200_ROI_157,54.174,-11.853,39.295,4,50.783470
158,CC200_ROI_158,-21.127,-91.831,-12.114,2,55.844714
159,CC200_ROI_159,-35.770,-78.102,-14.885,2,62.297532
160,CC200_ROI_160,0.057,20.427,-8.006,1,33.082230
161,CC200_ROI_161,10.577,1.256,65.944,5,56.188314
162,CC200_ROI_162,-9.236,-44.044,-24.066,6,41.550434
163,CC200_ROI_163,10.319,-63.519,56.188,5,61.716946
164,CC200_ROI_164,51.931,20.988,21.109,3,50.925263
165,CC200_ROI_165,-54.090,7.222,18.198,4,46.450130
166,CC200_ROI_166,44.917,-65.452,39.309,3,47.047179
167,CC200_ROI_167,-25.344,51.962,22.882,3,55.804066
168,CC200_ROI_168,32.926,44.616,28.123,3,50.666315
169,CC200_ROI_169,-40.865,48.731,-3.429,3,39.992487
170,CC200_ROI_170,33.270,-78.108,31.108,2,53.839256
171,CC200_ROI_171,-42.491,-37.991,47.836,5,45.966977
172,CC200_ROI_172,28.098,-49.098,-12.992,2,58.510477
173,CC200_ROI_173,-8.571,19.863,60.445,1,46.795149
174,CC200_ROI_174,-0.660,-55.089,38.297,1,54.932880
175,CC200_ROI_175,30.805,-87.521,-10.863,2,57.649666
176,CC200_ROI_176,1.096,-63.247,-33.411,6,40.553476
177,CC200_ROI_177,-14.307,-74.220,-10.126,2,61.222529
178,CC200_ROI_178,27.203,0.849,-0.143,4,55.563216
179,CC200_ROI_179,-13.279,-52.930,-0.663,2,56.884198
180,CC200_ROI_180,55.955,-29.558,43.942,5,45.105659
181,CC200_ROI_181,45.706,13.346,-22.677,1,37.081291
182,CC200_ROI_182,-8.141,0.491,65.864,5,50.565471
183,CC200_ROI_183,-27.750,56.945,4.683,3,48.029610
184,CC200_ROI_184,-46.689,5.039,2.825,4,57.909462
185,CC200_ROI_185,44.514,-24.784,16.122,4,55.352668
186,CC200_ROI_186,12.136,43.121,45.424,1,50.671278
187,CC200_ROI_187,13.500,21.667,59.788,1,49.795652
188,CC200_ROI_188,-18.625,-52.641,65.188,5,48.842406
189,CC200_ROI_189,-27.643,-58.286,-13.607,2,60.942435
190,CC200_ROI_190,15.974,-34.462,-21.410,6,35.249602
191,CC200_ROI_191,-21.329,29.986,47.314,1,55.417950
192,CC200_ROI_192,-0.722,-77.829,-23.167,6,60.242786
193,CC200_ROI_193,15.041,56.276,29.359,1,49.646838
194,CC200_ROI_194,1.025,-30.754,-17.503,6,36.491527
195,CC200_ROI_195,8.976,-86.892,-12.277,2,60.010867
196,CC200_ROI_196,-46.397,13.778,-11.238,1,62.259903
197,CC200_ROI_197,-3.912,-53.088,57.432,5,60.641631
198,CC200_ROI_198,30.764,-1.433,-36.153,1,31.556328
199,CC200_ROI_199,-15.000,-30.832,-18.347,6,31.653045
200,CC200_ROI_200,-41.943,-31.521,15.227,4,57.324903
