Source,Target,Type,Weight
3,127,Undirected,0.428144
3,139,Undirected,0.445888
3,147,Undirected,0.643614
3,163,Undirected,0.519786
3,166,Undirected,0.536780
3,170,Undirected,0.420860
3,174,Undirected,0.819962
3,179,Undirected,0.568236
4,20,Undirected,0.473559
4,24,Undirected,0.571913
4,33,Undirected,0.449768
4,35,Undirected,0.504996
4,59,Undirected,0.456176
4,66,Undirected,0.601653
4,67,Undirected,0.610498
4,79,Undirected,0.458211
4,83,Undirected,0.588095
4,119,Undirected,0.638229
4,121,Undirected,0.597431
4,128,Undirected,0.486582
4,129,Undirected,0.474473
4,137,Undirected,0.752418
4,146,Undirected,0.678615
4,153,Undirected,0.444939
4,178,Undirected,0.462292
4,184,Undirected,0.679066
4,185,Undirected,0.530353
4,196,Undirected,0.457393
4,200,Undirected,0.584595
5,11,Undirected,0.414823
5,22,Undirected,0.974756
5,40,Undirected,0.716368
5,46,Undirected,0.423161
5,51,Undirected,0.557075
5,72,Undirected,0.420417
5,91,Undirected,0.731369
5,104,Undirected,0.689530
5,109,Undirected,0.674419
5,133,Undirected,0.557034
5,139,Undirected,0.685361
5,149,Undirected,0.421635
5,160,Undirected,0.422711
5,167,Undirected,0.467883
5,174,Undirected,0.491163
5,191,Undirected,0.481146
5,193,Undirected,0.469558
6,7,Undirected,0.536099
6,8,Undirected,0.458055
6,13,Undirected,0.508411
6,18,Undirected,0.427647
6,19,Undirected,0.447662
6,21,Undirected,0.450746
6,24,Undirected,0.424857
6,28,Undirected,0.488673
6,29,Undirected,0.596587
6,31,Undirected,0.451043
6,33,Undirected,0.452324
6,38,Undirected,0.464207
6,40,Undirected,0.463820
6,46,Undirected,0.554644
6,50,Undirected,0.470342
6,55,Undirected,0.530464
6,56,Undirected,0.461009
6,60,Undirected,0.487200
6,64,Undirected,0.467739
6,65,Undirected,0.668778
6,66,Undirected,0.415312
6,76,Undirected,0.950798
6,79,Undirected,0.623686
6,81,Undirected,0.630123
6,85,Undirected,0.418756
6,90,Undirected,0.427108
6,93,Undirected,0.470170
6,96,Undirected,0.458044
6,97,Undirected,0.425403
6,106,Undirected,0.540547
6,111,Undirected,0.533050
6,115,Undirected,0.511169
6,119,Undirected,0.432526
6,123,Undirected,0.694650
6,125,Undirected,0.533652
6,127,Undirected,0.432568
6,128,Undirected,0.467596
6,132,Undirected,0.417888
6,136,Undirected,0.521569
6,146,Undirected,0.421504
6,147,Undirected,0.585072
6,150,Undirected,0.430970
6,156,Undirected,0.459897
6,161,Undirected,0.432013
6,163,Undirected,0.732464
6,168,Undirected,0.508242
6,174,Undirected,0.467438
6,180,Undirected,0.415226
6,188,Undirected,0.485399
6,191,Undirected,0.434968
6,197,Undirected,0.804869
6,200,Undirected,0.421557
7,13,Undirected,0.429257
7,17,Undirected,0.464153
7,25,Undirected,0.555931
7,38,Undirected,0.664423
7,56,Undirected,0.658102
7,75,Undirected,0.464120
7,93,Undirected,0.518373
7,106,Undirected,0.442267
7,113,Undirected,0.469353
7,115,Undirected,0.544455
7,127,Undirected,0.487138
7,149,Undirected,0.452683
7,156,Undirected,0.480805
7,163,Undirected,0.447077
7,164,Undirected,0.473877
7,166,Undirected,0.612212
7,168,Undirected,0.473993
8,21,Undirected,0.434638
8,24,Undirected,0.452337
8,28,Undirected,0.526680
8,50,Undirected,0.491668
8,60,Undirected,0.681387
8,65,Undirected,0.439723
8,66,Undirected,0.479174
8,73,Undirected,0.437366
8,76,Undirected,0.468677
8,79,Undirected,0.520622
8,88,Undirected,0.444102
8,90,Undirected,0.535854
8,96,Undirected,0.789552
8,98,Undirected,0.447286
8,111,Undirected,0.503906
8,123,Undirected,0.682359
8,146,Undirected,0.474262
8,154,Undirected,0.608437
8,157,Undirected,0.572725
8,161,Undirected,0.483804
8,171,Undirected,0.521238
8,180,Undirected,0.436147
8,188,Undirected,0.446657
8,200,Undirected,0.442527
9,10,Undirected,0.540184
9,26,Undirected,0.437943
9,36,Undirected,0.550733
9,41,Undirected,0.471389
9,63,Undirected,0.443440
9,77,Undirected,0.536290
9,80,Undirected,0.579818
9,100,Undirected,0.471169
9,103,Undirected,0.526914
9,118,Undirected,0.762466
9,120,Undirected,0.561552
9,126,Undirected,0.511292
9,138,Undirected,0.508781
9,152,Undirected,0.587264
9,159,Undirected,0.483812
9,162,Undirected,0.528028
9,172,Undirected,0.426948
9,176,Undirected,0.529493
9,177,Undirected,0.503579
9,189,Undirected,0.553793
9,192,Undirected,0.706291
9,195,Undirected,0.450543
10,36,Undirected,0.569657
10,41,Undirected,0.531607
10,77,Undirected,0.545037
10,80,Undirected,0.540739
10,100,Undirected,0.447896
10,103,Undirected,0.447708
10,118,Undirected,0.508556
10,120,Undirected,0.464929
10,126,Undirected,0.701104
10,192,Undirected,0.528733
10,195,Undirected,0.416784
11,49,Undirected,0.526085
11,69,Undirected,0.463407
11,72,Undirected,0.706275
11,73,Undirected,0.436625
11,74,Undirected,0.511762
11,82,Undirected,0.492800
11,91,Undirected,0.537900
11,99,Undirected,0.516661
11,101,Undirected,0.469676
11,104,Undirected,0.438331
11,107,Undirected,0.627649
11,109,Undirected,0.428916
11,117,Undirected,0.711076
11,133,Undirected,0.520202
11,139,Undirected,0.416157
11,141,Undirected,0.506814
11,146,Undirected,0.416886
11,153,Undirected,0.503276
11,173,Undirected,0.430735
11,174,Undirected,0.476573
11,186,Undirected,0.419730
11,196,Undirected,0.573249
12,22,Undirected,0.416203
12,25,Undirected,0.436829
12,38,Undirected,0.483287
12,75,Undirected,0.625887
12,106,Undirected,0.443634
12,113,Undirected,0.647411
12,127,Undirected,0.427876
12,139,Undirected,0.456221
12,166,Undirected,0.420843
12,183,Undirected,0.598902
13,17,Undirected,0.437046
13,20,Undirected,0.584160
13,25,Undirected,0.427670
13,29,Undirected,0.419636
13,33,Undirected,0.429894
13,34,Undirected,0.433437
13,38,Undirected,0.478839
13,40,Undirected,0.548373
13,45,Undirected,0.454013
13,50,Undirected,0.563288
13,55,Undirected,0.790797
13,59,Undirected,0.585315
13,61,Undirected,0.430461
13,64,Undirected,0.503654
13,67,Undirected,0.458239
13,73,Undirected,0.566989
13,76,Undirected,0.465457
13,79,Undirected,0.746653
13,106,Undirected,0.425535
13,115,Undirected,0.619345
13,119,Undirected,0.544053
13,123,Undirected,0.538121
13,125,Undirected,0.612506
13,128,Undirected,0.416504
13,149,Undirected,0.639076
13,156,Undirected,0.431284
13,161,Undirected,0.712604
13,167,Undirected,0.501221
13,168,Undirected,0.542646
13,182,Undirected,0.605614
13,184,Undirected,0.552878
13,187,Undirected,0.467688
13,196,Undirected,0.438021
13,197,Undirected,0.418182
14,19,Undirected,0.427975
14,49,Undirected,0.513723
14,58,Undirected,0.415793
14,69,Undirected,0.643515
14,82,Undirected,0.461620
14,85,Undirected,0.454042
14,91,Undirected,0.472012
14,106,Undirected,0.464432
14,107,Undirected,0.459110
14,117,Undirected,0.419453
14,127,Undirected,0.480033
14,139,Undirected,0.490547
14,140,Undirected,0.429803
14,150,Undirected,0.434292
14,163,Undirected,0.417119
14,166,Undirected,0.560720
14,174,Undirected,0.661413
14,186,Undirected,0.508358
14,187,Undirected,0.434540
14,193,Undirected,0.500860
15,22,Undirected,0.439393
15,47,Undirected,0.677522
15,51,Undirected,0.466820
15,71,Undirected,0.445410
15,130,Undirected,0.490816
15,135,Undirected,0.440045
15,160,Undirected,0.614695
16,26,Undirected,0.495256
16,31,Undirected,0.432229
16,34,Undirected,0.457410
16,50,Undirected,0.443207
16,63,Undirected,0.678709
16,85,Undirected,0.475970
16,93,Undirected,0.430701
16,97,Undirected,0.527531
16,99,Undirected,0.443368
16,100,Undirected,0.606857
16,114,Undirected,0.551664
16,132,Undirected,0.488696
16,136,Undirected,0.556623
16,143,Undirected,0.679091
16,150,Undirected,0.610533
16,156,Undirected,0.518172
16,159,Undirected,0.549881
16,163,Undirected,0.426844
16,170,Undirected,0.468910
16,171,Undirected,0.471303
16,189,Undirected,0.506823
17,25,Undirected,0.499156
17,34,Undirected,0.618910
17,38,Undirected,0.523950
17,73,Undirected,0.465678
17,93,Undirected,0.456746
17,114,Undirected,0.428064
17,115,Undirected,0.649182
17,132,Undirected,0.479351
17,144,Undirected,0.453455
17,151,Undirected,0.463274
17,156,Undirected,0.452189
17,164,Undirected,0.803052
17,166,Undirected,0.419929
18,37,Undirected,0.560255
18,45,Undirected,0.902454
18,48,Undirected,0.558846
18,84,Undirected,0.426827
18,94,Undirected,0.471427
18,148,Undirected,0.536335
18,178,Undirected,0.473514
19,22,Undirected,0.417227
19,46,Undirected,0.591691
19,54,Undirected,0.543416
19,58,Undirected,0.674815
19,70,Undirected,0.575292
19,81,Undirected,0.753368
19,85,Undirected,0.442298
19,89,Undirected,0.538164
19,97,Undirected,0.591895
19,105,Undirected,0.655287
19,114,Undirected,0.454248
19,147,Undirected,0.722916
19,150,Undirected,0.423814
19,163,Undirected,0.484848
19,174,Undirected,0.675374
19,179,Undirected,0.630712
19,197,Undirected,0.424222
20,33,Undirected,0.430712
20,40,Undirected,0.472976
20,47,Undirected,0.446195
20,53,Undirected,0.428510
20,55,Undirected,0.548267
20,59,Undirected,0.763929
20,67,Undirected,0.603726
20,83,Undirected,0.539248
20,119,Undirected,0.600786
20,125,Undirected,0.435161
20,137,Undirected,0.430191
20,141,Undirected,0.455192
20,144,Undirected,0.490691
20,146,Undirected,0.430695
20,165,Undirected,0.423034
20,184,Undirected,0.746401
20,196,Undirected,0.599666
21,28,Undirected,0.650043
21,60,Undirected,0.433244
21,65,Undirected,0.832022
21,76,Undirected,0.442862
21,90,Undirected,0.582678
21,96,Undirected,0.621591
21,111,Undirected,0.879007
21,123,Undirected,0.580042
21,134,Undirected,0.450282
21,188,Undirected,0.585264
21,197,Undirected,0.439532
22,29,Undirected,0.463190
22,40,Undirected,0.796151
22,46,Undirected,0.510563
22,47,Undirected,0.436275
22,49,Undirected,0.415454
22,51,Undirected,0.604979
22,53,Undirected,0.447576
22,58,Undirected,0.438824
22,75,Undirected,0.440377
22,91,Undirected,0.666291
22,104,Undirected,0.559274
22,106,Undirected,0.452429
22,109,Undirected,0.674042
22,133,Undirected,0.461890
22,139,Undirected,0.777881
22,149,Undirected,0.431478
22,160,Undirected,0.506603
22,174,Undirected,0.500540
22,186,Undirected,0.462041
22,191,Undirected,0.425244
22,193,Undirected,0.502420
23,25,Undirected,0.611195
23,34,Undirected,0.579708
23,56,Undirected,0.470733
23,61,Undirected,0.418803
23,73,Undirected,0.415111
23,95,Undirected,0.421586
23,114,Undirected,0.437448
23,125,Undirected,0.473229
23,141,Undirected,0.461863
23,151,Undirected,0.697528
23,156,Undirected,0.523961
23,164,Undirected,0.450307
23,165,Undirected,0.479643
23,167,Undirected,0.490776
23,169,Undirected,0.579793
23,183,Undirected,0.523398
24,33,Undirected,0.692444
24,35,Undirected,0.583958
24,55,Undirected,0.457844
24,59,Undirected,0.420925
24,66,Undirected,0.917274
24,67,Undirected,0.511345
24,69,Undirected,0.456225
24,79,Undirected,0.570712
24,88,Undirected,0.530880
24,90,Undirected,0.414705
24,98,Undirected,0.501401
24,111,Undirected,0.420965
24,116,Undirected,0.565417
24,117,Undirected,0.469215
24,119,Undirected,0.695253
24,121,Undirected,0.759407
24,123,Undirected,0.517119
24,128,Undirected,0.775153
24,137,Undirected,0.554309
24,146,Undirected,0.901765
24,150,Undirected,0.426264
24,154,Undirected,0.442580
24,157,Undirected,0.445906
24,165,Undirected,0.495122
24,180,Undirected,0.420771
24,184,Undirected,0.616554
24,185,Undirected,0.724638
24,188,Undirected,0.421833
24,200,Undirected,0.935225
25,38,Undirected,0.514649
25,59,Undirected,0.482953
25,75,Undirected,0.570836
25,93,Undirected,0.417853
25,113,Undirected,0.573450
25,115,Undirected,0.432272
25,119,Undirected,0.440353
25,144,Undirected,0.494348
25,151,Undirected,0.449174
25,156,Undirected,0.428981
25,164,Undirected,0.645749
25,168,Undirected,0.524669
26,44,Undirected,0.567616
26,54,Undirected,0.515280
26,63,Undirected,0.498259
26,70,Undirected,0.439004
26,77,Undirected,0.418012
26,85,Undirected,0.525830
26,89,Undirected,0.529152
26,100,Undirected,0.754005
26,102,Undirected,0.783512
26,105,Undirected,0.456517
26,108,Undirected,0.538594
26,126,Undirected,0.455679
26,131,Undirected,0.682157
26,132,Undirected,0.431493
26,138,Undirected,0.784351
26,142,Undirected,0.534108
26,143,Undirected,0.609906
26,150,Undirected,0.446365
26,158,Undirected,0.659662
26,159,Undirected,0.862356
26,170,Undirected,0.566638
26,172,Undirected,0.629035
26,175,Undirected,0.846453
26,177,Undirected,0.681581
26,179,Undirected,0.436867
26,189,Undirected,0.707128
26,192,Undirected,0.537728
26,195,Undirected,0.625435
27,32,Undirected,0.422690
27,43,Undirected,0.502637
27,78,Undirected,0.450850
27,87,Undirected,0.500330
27,198,Undirected,0.528129
28,31,Undirected,0.536695
28,60,Undirected,0.739395
28,65,Undirected,0.677097
28,66,Undirected,0.416370
28,76,Undirected,0.457055
28,79,Undirected,0.449890
28,90,Undirected,0.564521
28,93,Undirected,0.417859
28,96,Undirected,0.728011
28,111,Undirected,0.649697
28,123,Undirected,0.678524
28,134,Undirected,0.616486
28,161,Undirected,0.441927
28,180,Undirected,0.420920
28,185,Undirected,0.465145
28,188,Undirected,0.577604
29,40,Undirected,0.561343
29,46,Undirected,0.687079
29,55,Undirected,0.547656
29,76,Undirected,0.491368
29,79,Undirected,0.520663
29,81,Undirected,0.488400
29,147,Undirected,0.477769
29,149,Undirected,0.422368
29,167,Undirected,0.414949
29,174,Undirected,0.470424
30,52,Undirected,0.447877
30,86,Undirected,0.419611
31,50,Undirected,0.517436
31,60,Undirected,0.473868
31,64,Undirected,0.525558
31,65,Undirected,0.561753
31,76,Undirected,0.416160
31,85,Undirected,0.436330
31,90,Undirected,0.458238
31,93,Undirected,0.762382
31,96,Undirected,0.475685
31,116,Undirected,0.422724
31,123,Undirected,0.444199
31,132,Undirected,0.675416
31,134,Undirected,0.524251
31,136,Undirected,0.712824
31,143,Undirected,0.489141
31,156,Undirected,0.519205
31,163,Undirected,0.539248
31,170,Undirected,0.549965
31,171,Undirected,0.537905
31,180,Undirected,0.596341
31,188,Undirected,0.702203
31,197,Undirected,0.515614
32,43,Undirected,0.591215
32,78,Undirected,0.553646
32,87,Undirected,0.438547
32,101,Undirected,0.465732
32,140,Undirected,0.564518
32,181,Undirected,0.478860
32,198,Undirected,0.517625
33,55,Undirected,0.507788
33,56,Undirected,0.483026
33,66,Undirected,0.539374
33,67,Undirected,0.462293
33,69,Undirected,0.488588
33,76,Undirected,0.465375
33,79,Undirected,0.540779
33,116,Undirected,0.506328
33,117,Undirected,0.541533
33,119,Undirected,0.582659
33,121,Undirected,0.458328
33,123,Undirected,0.450005
33,125,Undirected,0.466715
33,128,Undirected,0.734958
33,137,Undirected,0.447816
33,146,Undirected,0.545181
33,150,Undirected,0.439993
33,161,Undirected,0.435654
33,165,Undirected,0.515413
33,184,Undirected,0.599311
33,185,Undirected,0.487002
33,197,Undirected,0.445590
33,200,Undirected,0.619392
34,50,Undirected,0.481801
34,61,Undirected,0.474076
34,63,Undirected,0.416945
34,73,Undirected,0.692769
34,95,Undirected,0.460274
34,114,Undirected,0.563913
34,141,Undirected,0.479924
34,149,Undirected,0.427889
34,151,Undirected,0.800105
34,156,Undirected,0.597790
34,164,Undirected,0.546745
34,165,Undirected,0.586447
34,171,Undirected,0.446186
35,59,Undirected,0.533873
35,66,Undirected,0.725276
35,67,Undirected,0.606657
35,79,Undirected,0.500467
35,88,Undirected,0.421752
35,98,Undirected,0.538213
35,116,Undirected,0.423699
35,119,Undirected,0.742297
35,121,Undirected,0.735698
35,123,Undirected,0.446237
35,128,Undirected,0.603472
35,137,Undirected,0.650124
35,146,Undirected,0.582823
35,157,Undirected,0.422140
35,178,Undirected,0.503662
35,184,Undirected,0.523732
35,185,Undirected,0.708896
35,200,Undirected,0.565991
36,80,Undirected,0.584135
36,103,Undirected,0.548487
36,120,Undirected,0.445386
36,126,Undirected,0.424625
36,192,Undirected,0.464363
37,45,Undirected,0.572030
37,48,Undirected,0.766738
37,58,Undirected,0.454839
37,62,Undirected,0.453316
37,89,Undirected,0.444591
37,92,Undirected,0.458646
37,105,Undirected,0.522851
37,122,Undirected,0.509309
37,138,Undirected,0.430709
37,152,Undirected,0.456667
37,172,Undirected,0.462696
37,179,Undirected,0.570492
37,189,Undirected,0.451579
38,40,Undirected,0.419889
38,56,Undirected,0.440853
38,61,Undirected,0.586187
38,75,Undirected,0.541613
38,106,Undirected,0.687130
38,113,Undirected,0.476198
38,115,Undirected,0.576181
38,125,Undirected,0.473525
38,127,Undirected,0.624532
38,149,Undirected,0.589524
38,163,Undirected,0.419841
38,164,Undirected,0.487047
38,166,Undirected,0.515540
38,168,Undirected,0.574737
38,186,Undirected,0.457855
38,187,Undirected,0.456504
38,191,Undirected,0.422724
39,49,Undirected,0.579089
39,99,Undirected,0.589638
39,100,Undirected,0.443690
39,107,Undirected,0.434731
39,127,Undirected,0.422905
39,166,Undirected,0.507092
40,46,Undirected,0.440742
40,47,Undirected,0.421590
40,55,Undirected,0.797076
40,59,Undirected,0.443576
40,75,Undirected,0.501345
40,91,Undirected,0.635172
40,104,Undirected,0.446669
40,106,Undirected,0.479885
40,125,Undirected,0.521307
40,133,Undirected,0.432111
40,139,Undirected,0.479591
40,149,Undirected,0.618955
40,167,Undirected,0.631408
40,168,Undirected,0.601408
40,187,Undirected,0.431465
40,191,Undirected,0.434324
40,193,Undirected,0.471148
40,196,Undirected,0.424419
41,103,Undirected,0.563377
41,118,Undirected,0.515785
41,162,Undirected,0.475404
41,176,Undirected,0.423027
41,190,Undirected,0.450607
41,192,Undirected,0.416364
42,113,Undirected,0.447664
42,169,Undirected,0.536494
42,183,Undirected,0.503080
43,72,Undirected,0.443564
43,78,Undirected,0.641916
43,101,Undirected,0.588275
44,54,Undirected,0.751478
44,70,Undirected,0.728443
44,81,Undirected,0.471384
44,89,Undirected,0.932164
44,102,Undirected,0.680285
44,105,Undirected,0.590906
44,108,Undirected,1.168241
44,131,Undirected,0.686899
44,138,Undirected,0.757326
44,142,Undirected,0.810175
44,158,Undirected,0.660051
44,159,Undirected,0.554363
44,170,Undirected,0.459297
44,172,Undirected,0.473225
44,175,Undirected,0.718383
44,177,Undirected,0.754432
44,179,Undirected,0.528125
44,189,Undirected,0.519938
44,192,Undirected,0.489478
44,195,Undirected,0.815507
45,47,Undirected,0.452541
45,48,Undirected,0.420913
45,55,Undirected,0.458467
45,66,Undirected,0.421936
45,67,Undirected,0.490167
45,79,Undirected,0.458193
45,84,Undirected,0.528166
45,94,Undirected,0.463192
45,146,Undirected,0.432062
45,148,Undirected,0.514772
45,178,Undirected,0.509671
45,184,Undirected,0.427050
45,196,Undirected,0.418258
46,58,Undirected,0.733448
46,81,Undirected,0.665636
46,82,Undirected,0.620107
46,95,Undirected,0.415398
46,104,Undirected,0.462121
46,106,Undirected,0.434511
46,109,Undirected,0.458513
46,114,Undirected,0.468746
46,127,Undirected,0.436642
46,139,Undirected,0.508109
46,147,Undirected,0.636944
46,166,Undirected,0.616537
46,174,Undirected,0.832455
46,191,Undirected,0.473505
47,67,Undirected,0.518117
47,84,Undirected,0.543684
47,135,Undirected,0.560931
47,148,Undirected,0.447216
47,178,Undirected,0.588673
47,184,Undirected,0.415296
48,58,Undirected,0.477435
48,62,Undirected,0.524847
48,89,Undirected,0.430830
48,92,Undirected,0.466522
48,105,Undirected,0.617481
48,122,Undirected,0.469917
48,138,Undirected,0.444386
48,152,Undirected,0.502412
48,155,Undirected,0.465887
48,172,Undirected,0.534690
48,179,Undirected,0.576734
48,189,Undirected,0.447323
48,192,Undirected,0.425446
48,195,Undirected,0.434082
48,199,Undirected,0.416348
49,53,Undirected,0.453168
49,62,Undirected,0.431694
49,72,Undirected,0.591718
49,91,Undirected,0.442137
49,107,Undirected,0.552425
49,109,Undirected,0.435017
49,120,Undirected,0.428226
49,139,Undirected,0.491370
49,140,Undirected,0.563787
49,153,Undirected,0.578410
49,174,Undirected,0.466775
49,186,Undirected,0.490618
49,193,Undirected,0.458972
50,60,Undirected,0.433980
50,64,Undirected,0.714380
50,65,Undirected,0.472328
50,73,Undirected,0.570786
50,76,Undirected,0.457127
50,79,Undirected,0.468539
50,90,Undirected,0.615162
50,93,Undirected,0.515706
50,95,Undirected,0.577150
50,96,Undirected,0.488772
50,97,Undirected,0.421490
50,111,Undirected,0.424327
50,114,Undirected,0.478791
50,115,Undirected,0.534947
50,116,Undirected,0.442091
50,123,Undirected,0.497592
50,125,Undirected,0.461445
50,132,Undirected,0.427882
50,134,Undirected,0.530183
50,136,Undirected,0.653831
50,156,Undirected,0.584652
50,161,Undirected,0.526539
50,163,Undirected,0.537270
50,171,Undirected,0.566251
50,180,Undirected,0.450951
50,182,Undirected,0.611856
50,188,Undirected,0.536440
50,197,Undirected,0.534264
51,57,Undirected,0.482652
51,58,Undirected,0.476797
51,71,Undirected,0.432658
51,72,Undirected,0.503332
51,91,Undirected,0.468006
51,104,Undirected,0.494353
51,109,Undirected,0.853904
51,133,Undirected,0.438630
51,139,Undirected,0.546575
51,160,Undirected,0.693070
51,174,Undirected,0.443968
52,86,Undirected,0.797169
52,176,Undirected,0.503090
53,71,Undirected,0.555091
53,74,Undirected,0.562887
53,83,Undirected,0.566018
53,91,Undirected,0.421508
53,107,Undirected,0.436045
53,112,Undirected,0.453062
53,113,Undirected,0.484245
53,144,Undirected,0.598778
53,149,Undirected,0.446580
53,153,Undirected,0.421618
53,186,Undirected,0.447090
53,187,Undirected,0.426184
53,193,Undirected,0.428698
53,196,Undirected,0.574020
54,70,Undirected,0.884355
54,81,Undirected,0.764493
54,85,Undirected,0.525934
54,89,Undirected,1.020178
54,97,Undirected,0.534256
54,102,Undirected,0.628756
54,105,Undirected,0.712427
54,108,Undirected,0.808167
54,131,Undirected,0.718913
54,138,Undirected,0.810274
54,142,Undirected,1.181848
54,147,Undirected,0.551275
54,150,Undirected,0.445491
54,158,Undirected,0.449868
54,159,Undirected,0.502315
54,163,Undirected,0.418049
54,170,Undirected,0.662352
54,172,Undirected,0.555457
54,175,Undirected,0.491893
54,177,Undirected,0.835979
54,179,Undirected,0.638205
54,189,Undirected,0.576834
54,192,Undirected,0.422220
54,195,Undirected,0.560169
54,197,Undirected,0.416164
55,59,Undirected,0.558464
55,66,Undirected,0.437780
55,67,Undirected,0.514741
55,76,Undirected,0.492921
55,79,Undirected,0.797539
55,83,Undirected,0.457981
55,119,Undirected,0.561397
55,123,Undirected,0.455327
55,125,Undirected,0.673920
55,128,Undirected,0.509720
55,137,Undirected,0.429541
55,146,Undirected,0.437607
55,149,Undirected,0.418449
55,161,Undirected,0.540414
55,167,Undirected,0.524972
55,168,Undirected,0.601820
55,178,Undirected,0.417859
55,182,Undirected,0.465979
55,184,Undirected,0.584505
55,185,Undirected,0.420262
55,196,Undirected,0.434960
55,197,Undirected,0.424966
55,200,Undirected,0.434129
56,61,Undirected,0.551188
56,73,Undirected,0.454987
56,82,Undirected,0.512969
56,95,Undirected,0.452392
56,125,Undirected,0.489727
56,149,Undirected,0.479268
56,151,Undirected,0.475478
56,156,Undirected,0.570111
56,167,Undirected,0.426583
57,71,Undirected,0.531270
57,74,Undirected,0.497811
57,112,Undirected,0.428043
57,196,Undirected,0.418649
58,72,Undirected,0.437425
58,81,Undirected,0.493689
58,82,Undirected,0.460649
58,89,Undirected,0.432080
58,104,Undirected,0.468276
58,105,Undirected,0.560712
58,109,Undirected,0.565168
58,139,Undirected,0.534007
58,147,Undirected,0.430740
58,166,Undirected,0.450519
58,174,Undirected,0.728059
58,179,Undirected,0.509215
58,191,Undirected,0.429740
59,66,Undirected,0.450276
59,67,Undirected,0.589935
59,79,Undirected,0.458243
59,83,Undirected,0.553828
59,119,Undirected,0.741750
59,128,Undirected,0.472749
59,137,Undirected,0.495049
59,144,Undirected,0.541318
59,146,Undirected,0.437494
59,168,Undirected,0.448983
59,178,Undirected,0.531387
59,184,Undirected,0.612342
60,65,Undirected,0.467081
60,66,Undirected,0.448289
60,76,Undirected,0.455651
60,79,Undirected,0.505662
60,90,Undirected,0.459289
60,93,Undirected,0.468766
60,96,Undirected,0.568083
60,98,Undirected,0.414752
60,111,Undirected,0.496185
60,115,Undirected,0.450556
60,123,Undirected,0.672872
60,134,Undirected,0.522684
60,154,Undirected,0.462501
60,157,Undirected,0.573158
60,161,Undirected,0.457351
60,171,Undirected,0.428683
60,180,Undirected,0.541550
60,185,Undirected,0.446076
60,188,Undirected,0.428442
61,73,Undirected,0.642651
61,82,Undirected,0.601672
61,95,Undirected,0.669616
61,104,Undirected,0.415841
61,106,Undirected,0.455009
61,125,Undirected,0.491690
61,127,Undirected,0.439447
61,133,Undirected,0.546184
61,149,Undirected,0.661643
61,151,Undirected,0.560781
61,167,Undirected,0.506457
61,169,Undirected,0.449681
61,173,Undirected,0.526775
61,183,Undirected,0.508055
61,186,Undirected,0.460329
61,191,Undirected,0.658611
62,63,Undirected,0.468196
62,87,Undirected,0.552836
62,92,Undirected,0.537243
62,100,Undirected,0.557761
62,105,Undirected,0.471081
62,110,Undirected,0.416832
62,122,Undirected,0.658879
62,145,Undirected,0.553023
62,153,Undirected,0.424447
62,155,Undirected,0.543479
62,172,Undirected,0.622901
62,179,Undirected,0.476422
62,189,Undirected,0.488968
62,190,Undirected,0.433672
62,199,Undirected,0.444699
63,77,Undirected,0.432900
63,97,Undirected,0.433838
63,99,Undirected,0.513019
63,100,Undirected,0.757286
63,103,Undirected,0.457507
63,114,Undirected,0.484700
63,122,Undirected,0.426200
63,143,Undirected,0.473428
63,150,Undirected,0.455203
63,158,Undirected,0.422638
