Id,Label,x,y,z,Module,Strength
61,CC200_ROI_061,-39.106,20.308,42.195,3,51.413639
62,CC200_ROI_062,34.000,-31.405,-16.392,1,55.529629
63,CC200_ROI_063,-43.948,-52.727,-18.610,2,61.566878
64,CC200_ROI_064,28.761,-0.274,56.843,5,51.400095
65,CC200_ROI_065,12.272,-44.799,67.653,5,61.418304
66,CC200_ROI_066,61.433,-17.392,12.216,4,57.295178
67,CC200_ROI_067,-27.822,1.109,3.183,4,50.355337
68,CC200_ROI_068,1.597,-20.750,-7.597,6,39.260981
69,CC200_ROI_069,60.011,-44.489,10.777,4,55.709111
70,CC200_ROI_070,-11.296,-70.394,5.894,2,53.104428
71,CC200_ROI_071,29.589,24.554,-15.054,1,46.645622
72,CC200_ROI_072,-56.365,-15.054,-15.297,1,48.551449
73,CC200_ROI_073,-43.008,0.843,47.592,3,60.024685
74,CC200_ROI_074,-44.006,33.000,-8.109,1,39.688052
75,CC200_ROI_075,31.744,54.750,14.930,3,50.142297
76,CC200_ROI_076,-7.904,-33.145,45.506,5,59.590394
77,CC200_ROI_077,17.171,-80.066,-28.737,6,54.615087
78,CC200_ROI_078,-40.569,12.902,-28.216,1,34.602753
79,CC200_ROI_079,0.012,-0.290,42.169,4,60.532946
80,CC200_ROI_080,-36.715,-71.016,-31.617,6,51.462120
81,CC200_ROI_081,13.516,-77.389,38.905,2,62.449787
82,CC200_ROI_082,-42.924,-67.010,40.678,1,44.222254
83,CC200_ROI_083,47.765,7.941,-9.294,4,50.689085
84,CC200_ROI_084,-12.398,5.422,13.952,7,43.577588
85,CC200_ROI_085,46.901,-73.578,15.521,2,54.632338
86,CC200_ROI_086,9.081,-43.881,-37.135,6,14.296678
87,CC200_ROI_087,37.838,-12.761,-25.965,1,41.240161
88,CC200_ROI_088,-57.270,-8.551,25.653,4,38.962908
89,CC200_ROI_089,8.094,-74.015,6.519,2,61.864605
90,CC200_ROI_090,-17.043,-16.071,69.986,5,49.989970
91,CC200_ROI_091,0.333,51.576,26.500,1,53.100194
92,CC200_ROI_092,-18.654,-7.391,-15.873,1,52.919052
93,CC200_ROI_093,40.642,-43.186,48.223,5,47.233929
94,CC200_ROI_094,14.241,-0.517,17.517,7,34.534711
95,CC200_ROI_095,-26.049,11.683,56.242,3,54.049827
96,CC200_ROI_096,-28.778,-35.851,62.362,5,48.884436
97,CC200_ROI_097,-33.577,-81.264,26.247,2,56.355821
98,CC200_ROI_098,60.125,-1.333,25.042,4,47.232399
99,CC200_ROI_099,-57.973,-48.271,-8.138,3,51.135225
100,CC200_ROI_100,48.011,-52.745,-16.660,2,63.446240
101,CC200_ROI_101,-51.000,-3.573,-28.758,1,38.303914
102,CC200_ROI_102,35.849,-86.799,9.637,2,43.111314
103,CC200_ROI_103,-28.364,-39.964,-30.709,6,48.329613
104,CC200_ROI_104,-9.236,62.039,14.174,1,52.509390
105,CC200_ROI_105,18.186,-55.495,3.153,2,57.664353
106,CC200_ROI_106,28.581,34.639,42.044,1,56.555001
107,CC200_ROI_107,55.051,-28.795,0.130,4,57.411424
108,CC200_ROI_108,-6.891,-93.429,1.117,2,54.109551
109,CC200_ROI_109,1.352,55.865,-7.181,1,47.818576
110,CC200_ROI_110,30.920,5.816,-18.991,1,45.279150
111,CC200_ROI_111,2.108,-23.564,68.534,5,54.785301
112,CC200_ROI_112,-28.863,12.066,-16.626,1,47.595582
113,CC200_ROI_113,42.877,49.585,-4.431,3,41.315722
114,CC200_ROI_114,-25.798,-74.112,41.143,3,54.578509
115,CC200_ROI_115,44.398,0.879,50.033,3,59.090203
116,CC200_ROI_116,-55.859,-28.728,36.620,4,40.283136
117,CC200_ROI_117,-56.802,-48.176,8.956,4,54.940814
118,CC200_ROI_118,21.056,-59.337,-25.213,6,56.589057
119,CC200_ROI_119,55.760,3.839,5.811,4,55.650992
120,CC200_ROI_120,-17.301,-81.349,-30.880,6,50.768864
121,CC200_ROI_121,-39.714,-12.943,13.314,4,40.669332
122,CC200_ROI_122,-27.643,-37.954,-11.445,1,47.141280
123,CC200_ROI_123,0.390,-15.113,51.781,5,59.919486
124,CC200_ROI_124,28.299,43.791,-13.522,3,32.626316
125,CC200_ROI_125,-30.562,38.010,33.769,3,52.416189
126,CC200_ROI_126,35.711,-73.026,-30.553,6,50.930536
127,CC200_ROI_127,31.024,18.029,52.683,3,52.195490
128,CC200_ROI_128,61.181,-31.383,26.575,4,49.307722
129,CC200_ROI_129,-44.964,-0.705,-14.611,1,45.076303
130,CC200_ROI_130,0.712,-3.441,-8.729,1,29.708478
131,CC200_ROI_131,-25.516,-92.856,12.032,2,47.158979
132,CC200_ROI_132,29.913,-67.500,47.301,2,48.232007
133,CC200_ROI_133,-9.087,46.413,40.558,1,50.840597
134,CC200_ROI_134,24.556,-13.517,67.045,5,44.713512
135,CC200_ROI_135,15.273,14.601,7.028,7,35.816683
136,CC200_ROI_136,-13.980,-66.267,55.858,5,53.024327
137,CC200_ROI_137,40.684,-11.278,-3.861,4,57.193823
138,CC200_ROI_138,22.471,-69.621,-11.264,2,60.744614
139,CC200_ROI_139,10.738,62.955,9.950,1,53.019232
140,CC200_ROI_140,55.105,-3.642,-25.373,1,42.198167
141,CC200_ROI_141,-49.220,22.864,9.322,1,43.025977
142,CC200_ROI_142,17.823,-89.519,22.733,2,46.957010
143,CC200_ROI_143,53.452,-61.750,1.000,2,58.696985
144,CC200_ROI_144,52.069,28.017,4.897,4,48.276906
145,CC200_ROI_145,-31.875,-21.085,-18.784,1,41.400193
146,CC200_ROI_146,-55.970,-10.904,5.570,4,58.750707
147,CC200_ROI_147,-7.606,-74.761,41.070,2,55.902560
148,CC200_ROI_148,1.727,-4.448,5.302,7,38.989205
149,CC200_ROI_149,-0.172,31.103,45.471,3,56.397986
150,CC200_ROI_150,-46.116,-72.130,12.058,2,59.845309
151,CC200_ROI_151,-43.974,26.480,26.617,3,47.401305
152,CC200_ROI_152,1.659,-56.935,-12.748,6,57.432361
153,CC200_ROI_153,58.382,-7.809,-7.824,1,52.505929
154,CC200_ROI_154,-51.249,-14.098,40.352,4,45.236986
155,CC200_ROI_155,21.343,-11.886,-16.408,1,40.282023
156,CC200_ROI_156,-33.897,-53.782,49.500,3,51.606079
157,CC200_ROI_157,54.174,-11.853,39.295,4,49.605087
158,CC200_ROI_158,-21.127,-91.831,-12.114,2,55.579795
159,CC200_ROI_159,-35.770,-78.102,-14.885,2,63.034445
160,CC200_ROI_160,0.057,20.427,-8.006,1,31.749066
161,CC200_ROI_161,10.577,1.256,65.944,5,55.043174
162,CC200_ROI_162,-9.236,-44.044,-24.066,6,44.245548
163,CC200_ROI_163,10.319,-63.519,56.188,5,62.504864
164,CC200_ROI_164,51.931,20.988,21.109,3,50.239706
165,CC200_ROI_165,-54.090,7.222,18.198,4,43.949125
166,CC200_ROI_166,44.917,-65.452,39.309,3,47.241583
167,CC200_ROI_167,-25.344,51.962,22.882,3,54.067981
168,CC200_ROI_168,32.926,44.616,28.123,3,52.448921
169,CC200_ROI_169,-40.865,48.731,-3.429,3,40.510048
170,CC200_ROI_170,33.270,-78.108,31.108,2,52.786940
171,CC200_ROI_171,-42.491,-37.991,47.836,5,42.660051
172,CC200_ROI_172,28.098,-49.098,-12.992,2,57.525142
173,CC200_ROI_173,-8.571,19.863,60.445,1,44.884283
174,CC200_ROI_174,-0.660,-55.089,38.297,1,51.873863
175,CC200_ROI_175,30.805,-87.521,-10.863,2,54.813135
176,CC200_ROI_176,1.096,-63.247,-33.411,6,44.848664
177,CC200_ROI_177,-14.307,-74.220,-10.126,2,59.813232
178,CC200_ROI_178,27.203,0.849,-0.143,4,55.451712
179,CC200_ROI_179,-13.279,-52.930,-0.663,2,53.962146
180,CC200_ROI_180,55.955,-29.558,43.942,5,42.141589
181,CC200_ROI_181,45.706,13.346,-22.677,1,35.929553
182,CC200_ROI_182,-8.141,0.491,65.864,5,50.281445
183,CC200_ROI_183,-27.750,56.945,4.683,3,47.556691
184,CC200_ROI_184,-46.689,5.039,2.825,4,54.967713
185,CC200_ROI_185,44.514,-24.784,16.122,4,49.852092
186,CC200_ROI_186,12.136,43.121,45.424,1,50.956831
187,CC200_ROI_187,13.500,21.667,59.788,1,51.864094
188,CC200_ROI_188,-18.625,-52.641,65.188,5,47.723497
189,CC200_ROI_189,-27.643,-58.286,-13.607,2,59.456503
190,CC200_ROI_190,15.974,-34.462,-21.410,6,36.259272
191,CC200_ROI_191,-21.329,29.986,47.314,1,56.420332
192,CC200_ROI_192,-0.722,-77.829,-23.167,6,60.677069
193,CC200_ROI_193,15.041,56.276,29.359,1,49.022443
194,CC200_ROI_194,1.025,-30.754,-17.503,6,40.480003
195,CC200_ROI_195,8.976,-86.892,-12.277,2,59.988542
196,CC200_ROI_196,-46.397,13.778,-11.238,1,60.344681
197,CC200_ROI_197,-3.912,-53.088,57.432,5,61.323609
198,CC200_ROI_198,30.764,-1.433,-36.153,1,35.022372
199,CC200_ROI_199,-15.000,-30.832,-18.347,6,33.348907
200,CC200_ROI_200,-41.943,-31.521,15.227,4,52.453222
