Id,Label,Degree,Group
84,ROI_85,33,M_ASD
85,ROI_86,3,M_ASD
86,ROI_87,8,M_ASD
87,ROI_88,12,M_ASD
88,ROI_89,32,M_ASD
89,ROI_90,25,M_ASD
90,ROI_91,28,M_ASD
91,ROI_92,15,M_ASD
92,ROI_93,24,M_ASD
93,ROI_94,5,M_ASD
94,ROI_95,30,M_ASD
95,ROI_96,19,M_ASD
96,ROI_97,32,M_ASD
97,ROI_98,18,M_ASD
98,ROI_99,10,M_ASD
99,ROI_100,30,M_ASD
100,ROI_101,9,M_ASD
101,ROI_102,24,M_ASD
102,ROI_103,9,M_ASD
103,ROI_104,24,M_ASD
104,ROI_105,33,M_ASD
105,ROI_106,30,M_ASD
106,ROI_107,18,M_ASD
107,ROI_108,23,M_ASD
108,ROI_109,20,M_ASD
109,ROI_110,8,M_ASD
110,ROI_111,22,M_ASD
111,ROI_112,11,M_ASD
112,ROI_113,10,M_ASD
113,ROI_114,27,M_ASD
114,ROI_115,26,M_ASD
115,ROI_116,20,M_ASD
116,ROI_117,18,M_ASD
117,ROI_118,14,M_ASD
118,ROI_119,32,M_ASD
119,ROI_120,11,M_ASD
120,ROI_121,20,M_ASD
121,ROI_122,10,M_ASD
122,ROI_123,40,M_ASD
123,ROI_124,2,M_ASD
124,ROI_125,24,M_ASD
125,ROI_126,13,M_ASD
126,ROI_127,23,M_ASD
127,ROI_128,34,M_ASD
128,ROI_129,10,M_ASD
129,ROI_130,3,M_ASD
130,ROI_131,28,M_ASD
131,ROI_132,27,M_ASD
132,ROI_133,27,M_ASD
133,ROI_134,19,M_ASD
134,ROI_135,5,M_ASD
135,ROI_136,25,M_ASD
136,ROI_137,22,M_ASD
137,ROI_138,33,M_ASD
138,ROI_139,28,M_ASD
139,ROI_140,9,M_ASD
140,ROI_141,17,M_ASD
141,ROI_142,23,M_ASD
142,ROI_143,25,M_ASD
143,ROI_144,13,M_ASD
144,ROI_145,6,M_ASD
145,ROI_146,38,M_ASD
146,ROI_147,21,M_ASD
147,ROI_148,5,M_ASD
148,ROI_149,35,M_ASD
149,ROI_150,31,M_ASD
150,ROI_151,16,M_ASD
151,ROI_152,15,M_ASD
152,ROI_153,16,M_ASD
153,ROI_154,12,M_ASD
154,ROI_155,9,M_ASD
155,ROI_156,27,M_ASD
156,ROI_157,14,M_ASD
157,ROI_158,22,M_ASD
158,ROI_159,34,M_ASD
159,ROI_160,5,M_ASD
160,ROI_161,27,M_ASD
161,ROI_162,9,M_ASD
162,ROI_163,38,M_ASD
163,ROI_164,10,M_ASD
164,ROI_165,18,M_ASD
165,ROI_166,22,M_ASD
166,ROI_167,22,M_ASD
167,ROI_168,18,M_ASD
168,ROI_169,11,M_ASD
169,ROI_170,33,M_ASD
170,ROI_171,21,M_ASD
171,ROI_172,33,M_ASD
172,ROI_173,18,M_ASD
173,ROI_174,33,M_ASD
174,ROI_175,23,M_ASD
175,ROI_176,9,M_ASD
176,ROI_177,28,M_ASD
177,ROI_178,21,M_ASD
178,ROI_179,27,M_ASD
179,ROI_180,24,M_ASD
180,ROI_181,7,M_ASD
181,ROI_182,16,M_ASD
182,ROI_183,14,M_ASD
183,ROI_184,31,M_ASD
184,ROI_185,26,M_ASD
185,ROI_186,25,M_ASD
186,ROI_187,21,M_ASD
187,ROI_188,25,M_ASD
188,ROI_189,35,M_ASD
189,ROI_190,8,M_ASD
190,ROI_191,28,M_ASD
191,ROI_192,31,M_ASD
192,ROI_193,22,M_ASD
193,ROI_194,5,M_ASD
194,ROI_195,31,M_ASD
195,ROI_196,27,M_ASD
196,ROI_197,29,M_ASD
197,ROI_198,3,M_ASD
198,ROI_199,6,M_ASD
199,ROI_200,28,M_ASD
