Id,Label,Degree,Group
76,ROI_77,14,F_ASD
77,ROI_78,8,F_ASD
78,ROI_79,48,F_ASD
79,ROI_80,11,F_ASD
80,ROI_81,36,F_ASD
81,ROI_82,28,F_ASD
82,ROI_83,18,F_ASD
83,ROI_84,8,F_ASD
84,ROI_85,25,F_ASD
85,ROI_86,1,F_ASD
86,ROI_87,9,F_ASD
87,ROI_88,9,F_ASD
88,ROI_89,32,F_ASD
89,ROI_90,22,F_ASD
90,ROI_91,25,F_ASD
91,ROI_92,15,F_ASD
92,ROI_93,26,F_ASD
93,ROI_94,5,F_ASD
94,ROI_95,28,F_ASD
95,ROI_96,18,F_ASD
96,ROI_97,32,F_ASD
97,ROI_98,18,F_ASD
98,ROI_99,21,F_ASD
99,ROI_100,29,F_ASD
100,ROI_101,6,F_ASD
101,ROI_102,21,F_ASD
102,ROI_103,9,F_ASD
103,ROI_104,24,F_ASD
104,ROI_105,28,F_ASD
105,ROI_106,35,F_ASD
106,ROI_107,17,F_ASD
107,ROI_108,22,F_ASD
108,ROI_109,21,F_ASD
109,ROI_110,9,F_ASD
110,ROI_111,16,F_ASD
111,ROI_112,10,F_ASD
112,ROI_113,14,F_ASD
113,ROI_114,30,F_ASD
114,ROI_115,25,F_ASD
115,ROI_116,17,F_ASD
116,ROI_117,16,F_ASD
117,ROI_118,14,F_ASD
118,ROI_119,32,F_ASD
119,ROI_120,10,F_ASD
120,ROI_121,17,F_ASD
121,ROI_122,14,F_ASD
122,ROI_123,39,F_ASD
123,ROI_124,2,F_ASD
124,ROI_125,24,F_ASD
125,ROI_126,13,F_ASD
126,ROI_127,25,F_ASD
127,ROI_128,30,F_ASD
128,ROI_129,11,F_ASD
129,ROI_130,3,F_ASD
130,ROI_131,24,F_ASD
131,ROI_132,20,F_ASD
132,ROI_133,27,F_ASD
133,ROI_134,20,F_ASD
134,ROI_135,5,F_ASD
135,ROI_136,24,F_ASD
136,ROI_137,26,F_ASD
137,ROI_138,30,F_ASD
138,ROI_139,25,F_ASD
139,ROI_140,9,F_ASD
140,ROI_141,12,F_ASD
141,ROI_142,23,F_ASD
142,ROI_143,28,F_ASD
143,ROI_144,14,F_ASD
144,ROI_145,7,F_ASD
145,ROI_146,31,F_ASD
146,ROI_147,21,F_ASD
147,ROI_148,6,F_ASD
148,ROI_149,36,F_ASD
149,ROI_150,28,F_ASD
150,ROI_151,18,F_ASD
151,ROI_152,17,F_ASD
152,ROI_153,14,F_ASD
153,ROI_154,12,F_ASD
154,ROI_155,11,F_ASD
155,ROI_156,29,F_ASD
156,ROI_157,14,F_ASD
157,ROI_158,20,F_ASD
158,ROI_159,33,F_ASD
159,ROI_160,5,F_ASD
160,ROI_161,24,F_ASD
161,ROI_162,10,F_ASD
162,ROI_163,40,F_ASD
163,ROI_164,20,F_ASD
164,ROI_165,17,F_ASD
165,ROI_166,26,F_ASD
166,ROI_167,23,F_ASD
167,ROI_168,21,F_ASD
168,ROI_169,11,F_ASD
169,ROI_170,33,F_ASD
170,ROI_171,18,F_ASD
171,ROI_172,33,F_ASD
172,ROI_173,17,F_ASD
173,ROI_174,34,F_ASD
174,ROI_175,22,F_ASD
175,ROI_176,7,F_ASD
176,ROI_177,29,F_ASD
177,ROI_178,17,F_ASD
178,ROI_179,25,F_ASD
179,ROI_180,20,F_ASD
180,ROI_181,9,F_ASD
181,ROI_182,18,F_ASD
182,ROI_183,13,F_ASD
183,ROI_184,29,F_ASD
184,ROI_185,17,F_ASD
185,ROI_186,26,F_ASD
186,ROI_187,24,F_ASD
187,ROI_188,24,F_ASD
188,ROI_189,35,F_ASD
189,ROI_190,7,F_ASD
190,ROI_191,34,F_ASD
191,ROI_192,28,F_ASD
192,ROI_193,21,F_ASD
193,ROI_194,6,F_ASD
194,ROI_195,33,F_ASD
195,ROI_196,20,F_ASD
196,ROI_197,28,F_ASD
197,ROI_198,3,F_ASD
198,ROI_199,7,F_ASD
199,ROI_200,20,F_ASD
