Id,Label,x,y,z,Module,Strength
80,CC200_ROI_080,-36.715,-71.016,-31.617,6,42.274236
81,CC200_ROI_081,13.516,-77.389,38.905,2,55.684039
82,CC200_ROI_082,-42.924,-67.010,40.678,1,41.144224
83,CC200_ROI_083,47.765,7.941,-9.294,4,48.624543
84,CC200_ROI_084,-12.398,5.422,13.952,7,44.228200
85,CC200_ROI_085,46.901,-73.578,15.521,2,49.821015
86,CC200_ROI_086,9.081,-43.881,-37.135,6,11.796456
87,CC200_ROI_087,37.838,-12.761,-25.965,1,37.793747
88,CC200_ROI_088,-57.270,-8.551,25.653,4,34.218188
89,CC200_ROI_089,8.094,-74.015,6.519,2,58.120611
90,CC200_ROI_090,-17.043,-16.071,69.986,5,45.409163
91,CC200_ROI_091,0.333,51.576,26.500,1,49.113282
92,CC200_ROI_092,-18.654,-7.391,-15.873,1,49.535224
93,CC200_ROI_093,40.642,-43.186,48.223,5,42.398212
94,CC200_ROI_094,14.241,-0.517,17.517,7,37.133167
95,CC200_ROI_095,-26.049,11.683,56.242,3,49.164158
96,CC200_ROI_096,-28.778,-35.851,62.362,5,47.857951
97,CC200_ROI_097,-33.577,-81.264,26.247,2,52.360236
98,CC200_ROI_098,60.125,-1.333,25.042,4,43.418297
99,CC200_ROI_099,-57.973,-48.271,-8.138,3,44.803760
100,CC200_ROI_100,48.011,-52.745,-16.660,2,58.506894
101,CC200_ROI_101,-51.000,-3.573,-28.758,1,35.939273
102,CC200_ROI_102,35.849,-86.799,9.637,2,41.417492
103,CC200_ROI_103,-28.364,-39.964,-30.709,6,42.715549
104,CC200_ROI_104,-9.236,62.039,14.174,1,49.473694
105,CC200_ROI_105,18.186,-55.495,3.153,2,54.982976
106,CC200_ROI_106,28.581,34.639,42.044,1,51.706192
107,CC200_ROI_107,55.051,-28.795,0.130,4,52.180420
108,CC200_ROI_108,-6.891,-93.429,1.117,2,49.883614
109,CC200_ROI_109,1.352,55.865,-7.181,1,46.747174
110,CC200_ROI_110,30.920,5.816,-18.991,1,41.708060
111,CC200_ROI_111,2.108,-23.564,68.534,5,51.885126
112,CC200_ROI_112,-28.863,12.066,-16.626,1,45.945019
113,CC200_ROI_113,42.877,49.585,-4.431,3,37.821377
114,CC200_ROI_114,-25.798,-74.112,41.143,3,51.699577
115,CC200_ROI_115,44.398,0.879,50.033,3,54.311721
116,CC200_ROI_116,-55.859,-28.728,36.620,4,35.093623
117,CC200_ROI_117,-56.802,-48.176,8.956,4,49.957536
118,CC200_ROI_118,21.056,-59.337,-25.213,6,49.003391
119,CC200_ROI_119,55.760,3.839,5.811,4,52.191940
120,CC200_ROI_120,-17.301,-81.349,-30.880,6,43.239209
121,CC200_ROI_121,-39.714,-12.943,13.314,4,39.367963
122,CC200_ROI_122,-27.643,-37.954,-11.445,1,43.704476
123,CC200_ROI_123,0.390,-15.113,51.781,5,55.116951
124,CC200_ROI_124,28.299,43.791,-13.522,3,31.204112
125,CC200_ROI_125,-30.562,38.010,33.769,3,49.800681
126,CC200_ROI_126,35.711,-73.026,-30.553,6,43.277137
127,CC200_ROI_127,31.024,18.029,52.683,3,44.918996
128,CC200_ROI_128,61.181,-31.383,26.575,4,44.695920
129,CC200_ROI_129,-44.964,-0.705,-14.611,1,41.380439
130,CC200_ROI_130,0.712,-3.441,-8.729,1,23.093042
131,CC200_ROI_131,-25.516,-92.856,12.032,2,45.207350
132,CC200_ROI_132,29.913,-67.500,47.301,2,45.698015
133,CC200_ROI_133,-9.087,46.413,40.558,1,46.690158
134,CC200_ROI_134,24.556,-13.517,67.045,5,40.325847
135,CC200_ROI_135,15.273,14.601,7.028,7,33.320233
136,CC200_ROI_136,-13.980,-66.267,55.858,5,49.373428
137,CC200_ROI_137,40.684,-11.278,-3.861,4,52.010449
138,CC200_ROI_138,22.471,-69.621,-11.264,2,54.743378
139,CC200_ROI_139,10.738,62.955,9.950,1,52.162076
140,CC200_ROI_140,55.105,-3.642,-25.373,1,39.600914
141,CC200_ROI_141,-49.220,22.864,9.322,1,42.353005
142,CC200_ROI_142,17.823,-89.519,22.733,2,43.906898
143,CC200_ROI_143,53.452,-61.750,1.000,2,51.568909
144,CC200_ROI_144,52.069,28.017,4.897,4,47.504145
145,CC200_ROI_145,-31.875,-21.085,-18.784,1,38.332144
146,CC200_ROI_146,-55.970,-10.904,5.570,4,55.131833
147,CC200_ROI_147,-7.606,-74.761,41.070,2,49.395274
148,CC200_ROI_148,1.727,-4.448,5.302,7,34.367797
149,CC200_ROI_149,-0.172,31.103,45.471,3,52.623576
150,CC200_ROI_150,-46.116,-72.130,12.058,2,55.593355
151,CC200_ROI_151,-43.974,26.480,26.617,3,43.738397
152,CC200_ROI_152,1.659,-56.935,-12.748,6,47.860119
153,CC200_ROI_153,58.382,-7.809,-7.824,1,49.356803
154,CC200_ROI_154,-51.249,-14.098,40.352,4,38.748092
155,CC200_ROI_155,21.343,-11.886,-16.408,1,37.285068
156,CC200_ROI_156,-33.897,-53.782,49.500,3,47.113378
157,CC200_ROI_157,54.174,-11.853,39.295,4,45.262035
158,CC200_ROI_158,-21.127,-91.831,-12.114,2,49.569651
159,CC200_ROI_159,-35.770,-78.102,-14.885,2,55.628111
160,CC200_ROI_160,0.057,20.427,-8.006,1,31.052632
161,CC200_ROI_161,10.577,1.256,65.944,5,51.095136
162,CC200_ROI_162,-9.236,-44.044,-24.066,6,37.039507
163,CC200_ROI_163,10.319,-63.519,56.188,5,56.339872
164,CC200_ROI_164,51.931,20.988,21.109,3,47.989906
165,CC200_ROI_165,-54.090,7.222,18.198,4,41.664807
166,CC200_ROI_166,44.917,-65.452,39.309,3,43.244960
167,CC200_ROI_167,-25.344,51.962,22.882,3,51.827217
168,CC200_ROI_168,32.926,44.616,28.123,3,44.863640
169,CC200_ROI_169,-40.865,48.731,-3.429,3,36.368238
170,CC200_ROI_170,33.270,-78.108,31.108,2,48.826265
171,CC200_ROI_171,-42.491,-37.991,47.836,5,41.223143
172,CC200_ROI_172,28.098,-49.098,-12.992,2,52.574433
173,CC200_ROI_173,-8.571,19.863,60.445,1,42.217890
174,CC200_ROI_174,-0.660,-55.089,38.297,1,48.355801
175,CC200_ROI_175,30.805,-87.521,-10.863,2,49.496323
176,CC200_ROI_176,1.096,-63.247,-33.411,6,36.555468
177,CC200_ROI_177,-14.307,-74.220,-10.126,2,54.280002
178,CC200_ROI_178,27.203,0.849,-0.143,4,50.420228
179,CC200_ROI_179,-13.279,-52.930,-0.663,2,52.718755
180,CC200_ROI_180,55.955,-29.558,43.942,5,38.772257
181,CC200_ROI_181,45.706,13.346,-22.677,1,32.959776
182,CC200_ROI_182,-8.141,0.491,65.864,5,45.612451
183,CC200_ROI_183,-27.750,56.945,4.683,3,46.284123
184,CC200_ROI_184,-46.689,5.039,2.825,4,52.717986
185,CC200_ROI_185,44.514,-24.784,16.122,4,48.963993
186,CC200_ROI_186,12.136,43.121,45.424,1,48.025693
187,CC200_ROI_187,13.500,21.667,59.788,1,47.044938
188,CC200_ROI_188,-18.625,-52.641,65.188,5,42.799217
189,CC200_ROI_189,-27.643,-58.286,-13.607,2,55.771448
190,CC200_ROI_190,15.974,-34.462,-21.410,6,32.109837
191,CC200_ROI_191,-21.329,29.986,47.314,1,50.838700
192,CC200_ROI_192,-0.722,-77.829,-23.167,6,54.298460
193,CC200_ROI_193,15.041,56.276,29.359,1,47.645069
194,CC200_ROI_194,1.025,-30.754,-17.503,6,32.603367
195,CC200_ROI_195,8.976,-86.892,-12.277,2,53.066977
196,CC200_ROI_196,-46.397,13.778,-11.238,1,59.050193
197,CC200_ROI_197,-3.912,-53.088,57.432,5,55.113965
198,CC200_ROI_198,30.764,-1.433,-36.153,1,29.474923
199,CC200_ROI_199,-15.000,-30.832,-18.347,6,31.743514
200,CC200_ROI_200,-41.943,-31.521,15.227,4,50.160308
